"","hessSRR094166","hessSRR094403","hessSRR094405","hessSRR094415","hessSRR094416","hessSRR094417","hessSRR094418","hessSRR094419","hessSRR094424","hessSRR094427","hessSRR094428","shiSRR1222429","shiSRR1222431","shiSRR1267595","shiSRR873450","shiSRR873451","shiSRR873452","shiSRR873453","shiSRR873454","shiSRR873455","shiSRR873456","shiSRR873457","shiSRR873458","shiSRR873459","shiSRR873460","shiSRR873461","shiSRR873462","shiSRR873463","shiSRR873464","shiSRR873465","shiSRR873595","shiSRR873596","shiSRR873597","shiSRR873598","shiSRR873599","shiSRR873600","shiSRR873601","shiSRR873602","shiSRR873603","shiSRR873604","shiSRR873605","shiSRR873606","shiSRR873607","shiSRR873608","shiSRR873609","shiSRR873610","stewartERR2027889","stewartERR2027890","stewartERR2027891","stewartERR2027892","stewartERR2027893","stewartERR2027894","stewartERR2027895","stewartERR2027896","stewartERR2027897","stewartERR2027898","stewartERR2027899","stewartERR2027900","stewartERR2027901","stewartERR2027902","stewartERR2027903","stewartERR2027904","stewartERR2027905","stewartERR2027906","stewartERR2027907","stewartERR2027908","stewartERR2027909","stewartERR2027910","stewartERR2027911","stewartERR2027912","stewartERR2027913","stewartERR2027914","stewartERR2027915","stewartERR2027916","stewartERR2027917","stewartERR2027918","stewartERR2027919","stewartERR2027920","stewartERR2027921","stewartERR2027922","stewartERR2027923","stewartERR2027924","stewartERR2027925","stewartERR2027926","stewartERR2027927","stewartERR2027928","stewartERR2027929","stewartERR2027930","wallaceERR2027889","wallaceERR2027890","wallaceERR2282092","wallaceERR2530126","wallaceERR2530127","wallaceERR983262","wallaceERR983263","wallaceERR983264","wallaceERR983265","wallaceERR983266","wallaceERR983267","wallaceERR983268","wallaceERR983269"
"gene:plasmid:10527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13533151680291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene:plasmid:10528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15212320722569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene:plasmid:109146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4935064935065,0,0,0,0,0,0,0,2.99401197604791,0,0,5.71428571428572,0,0,54.1735765616363,0,2.7027027027027,0,2.71493212669683,10.9140518417463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene:plasmid:109147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7451630735213,0,0,0,0,15.0068212824011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene:plasmid:109148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72851296043656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene:plasmid:109299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3537866224434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene:plasmid:109421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90372388737511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene:plasmid:109422",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57152073580255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene:plasmid:109441",0,0,0,0,0,0,0,0,0,0,0,0,0.257632358624243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene:plasmid:109587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85274023589353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
