hessSRR094166,hessSRR094403,hessSRR094405,hessSRR094415,hessSRR094416,hessSRR094417,hessSRR094418,hessSRR094419,hessSRR094424,hessSRR094427,hessSRR094428,shiSRR1222429,shiSRR1222431,shiSRR1267595,shiSRR873450,shiSRR873451,shiSRR873452,shiSRR873453,shiSRR873454,shiSRR873455,shiSRR873456,shiSRR873457,shiSRR873458,shiSRR873459,shiSRR873460,shiSRR873461,shiSRR873462,shiSRR873463,shiSRR873464,shiSRR873465,shiSRR873595,shiSRR873596,shiSRR873597,shiSRR873598,shiSRR873599,shiSRR873600,shiSRR873601,shiSRR873602,shiSRR873603,shiSRR873604,shiSRR873605,shiSRR873606,shiSRR873607,shiSRR873608,shiSRR873609,shiSRR873610,stewartERR2027889,stewartERR2027890,stewartERR2027891,stewartERR2027892,stewartERR2027893,stewartERR2027894,stewartERR2027895,stewartERR2027896,stewartERR2027897,stewartERR2027898,stewartERR2027899,stewartERR2027900,stewartERR2027901,stewartERR2027902,stewartERR2027903,stewartERR2027904,stewartERR2027905,stewartERR2027906,stewartERR2027907,stewartERR2027908,stewartERR2027909,stewartERR2027910,stewartERR2027911,stewartERR2027912,stewartERR2027913,stewartERR2027914,stewartERR2027915,stewartERR2027916,stewartERR2027917,stewartERR2027918,stewartERR2027919,stewartERR2027920,stewartERR2027921,stewartERR2027922,stewartERR2027923,stewartERR2027924,stewartERR2027925,stewartERR2027926,stewartERR2027927,stewartERR2027928,stewartERR2027929,stewartERR2027930,wallaceERR2027889,wallaceERR2027890,wallaceERR2282092,wallaceERR2530126,wallaceERR2530127,wallaceERR983262,wallaceERR983263,wallaceERR983264,wallaceERR983265,wallaceERR983266,wallaceERR983267,wallaceERR983268,wallaceERR983269
gene:plasmid:85253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:132193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15850.0,11019.0,21243.0,13763.0,0,15460.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663.0,0,0,3773.0,0,0,0,0,2616.0,0,0,0,0,2084.0,0,0,0,2737.0,2311.0,2662.0,0,0,1931.0,0,0,0,2547.0,2123.0,0,0,0,0,0,0,2548.0,0,0,0,0,0,0,0,2469.0,0,0,2243.0,2374.0,3070.0,2238.0
gene:vir:109003,0,0,0,0,0,0,0,0,0,0,0,0,127.0,60.0,0,0,0,0,0,26.0,0,18.0,0,0,0,0,8.0,0,0,4.0,140.0,180.0,232.0,87.0,97.0,261.0,153.0,148.0,18.0,156.0,113.0,98.0,142.0,179.0,117.0,99.0,0,0,0,0,0,0,6.0,26.0,0,0,0,0,8.0,5.0,0,0,4.0,0,0,16.0,0,12.0,0,11.0,12.0,0,21.0,0,14.0,0,12.0,0,0,0,7.0,0,0,13.0,20.0,0,16.0,0,0,0,24.0,0,0,0,0,0,0,0,12.0,0,11.0
gene:vir:95674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:25398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:154774,0,0,0,0,0,0,0,0,0,0,0,0,5103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152.0,2633.0,3921.0,0,2810.0,3187.0,4341.0,2741.0,0,3717.0,4065.0,3051.0,4267.0,4474.0,4634.0,2855.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:proph:170425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:139559,0,0,0,0,0,0,0,0,14628.0,0,12549.0,0,30188.0,19220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45223.0,37679.0,42458.0,33037.0,28801.0,37908.0,34709.0,23568.0,8482.0,31985.0,30936.0,25593.0,28545.0,29985.0,31216.0,30537.0,9579.0,22703.0,9442.0,42430.0,30251.0,44250.0,17458.0,22371.0,13043.0,10061.0,34265.0,10112.0,24576.0,12715.0,10349.0,35457.0,45912.0,22664.0,14984.0,17765.0,8714.0,13037.0,9686.0,12275.0,12195.0,17271.0,8545.0,13838.0,9123.0,12842.0,14555.0,13790.0,9774.0,9112.0,10669.0,17781.0,14828.0,8118.0,15881.0,12705.0,8240.0,15356.0,9579.0,11011.0,43344.0,27360.0,20787.0,14204.0,12849.0,38821.0,5131.0,16784.0,10051.0,13168.0,7294.0
gene:plasmid:122082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene:plasmid:21622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.0,0,0,0,0,0,0,0,0,0,0
