"group","stewartERR2027901","wallaceERR2530126","stewartERR2027926","stewartERR2027907","wallaceERR2282092","stewartERR2027900","shiSRR873597","stewartERR2027892","stewartERR2027894","stewartERR2027906","stewartERR2027895","stewartERR2027897","wallaceERR983265","stewartERR2027922","stewartERR2027898","wallaceERR983264","stewartERR2027915","stewartERR2027929","stewartERR2027928","stewartERR2027904","wallaceERR2530127","stewartERR2027917","wallaceERR983262","stewartERR2027905"
"TnB1230",18387,15623,15347,42787,30979,20333,8154,18872,17201,17684,15727,14362,15290,13120,16959,29895,18949,20941,13815,24348,8637,13373,18952,20553
"Tn6107",0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICE(Tn4371)6033",0,0,0,0,9887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTn341",0,0,0,0,0,0,0,19687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICEBsa18170-1",0,0,0,14747,16391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18841,0,0,0,0
"ICEBxyXB1A-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2959,0,0,0,0,0,0,0
"CTnDOT",0,0,0,0,338,1221,0,0,548,0,0,0,0,0,0,0,0,0,0,1661,0,0,0,430
"ICEBfrYCH46-1",0,33851,7887,10275,19709,15882,0,0,13266,0,33620,4334,0,6653,30225,34934,0,6797,3681,21974,27886,5735,15453,18859
"CTnGERM1",0,0,0,0,0,17598,0,0,0,25013,0,0,28742,0,0,0,0,0,0,0,0,0,0,0
"Tn1549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,0,0,0,0,0,0,0,0
"TcrEmr7853",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
