hessSRR094424,shiSRR873453,stewartERR2027897,stewartERR2027900,stewartERR2027917,hessSRR094417,stewartERR2027930,wallaceERR983267,shiSRR873460,shiSRR873452,stewartERR2027891,wallaceERR983263,shiSRR873606,stewartERR2027921,stewartERR2027890,stewartERR2027903,stewartERR2027904,wallaceERR2027890,shiSRR873603,stewartERR2027895,hessSRR094427,wallaceERR2282092,stewartERR2027928,shiSRR873601,hessSRR094416,wallaceERR983268,stewartERR2027914,stewartERR2027905,wallaceERR983265,shiSRR873461,shiSRR873450,stewartERR2027924,shiSRR873457,stewartERR2027919,stewartERR2027925,stewartERR2027910,shiSRR1267595,stewartERR2027927,shiSRR1222429,shiSRR873463,stewartERR2027894,stewartERR2027899,stewartERR2027920,wallaceERR983264,shiSRR873455,wallaceERR2530126,stewartERR2027915,shiSRR873458,stewartERR2027916,stewartERR2027907,shiSRR873456,stewartERR2027901,hessSRR094403,stewartERR2027913,hessSRR094418,shiSRR873598,shiSRR873465,shiSRR873607,shiSRR873600,hessSRR094428,wallaceERR983269,shiSRR873602,stewartERR2027926,stewartERR2027923,shiSRR873464,shiSRR873608,stewartERR2027908,stewartERR2027893,shiSRR1222431,hessSRR094166,stewartERR2027898,stewartERR2027902,shiSRR873605,stewartERR2027909,stewartERR2027929,shiSRR873454,wallaceERR2530127,wallaceERR983266,shiSRR873595,shiSRR873610,hessSRR094405,wallaceERR983262,wallaceERR2027889,stewartERR2027892,stewartERR2027912,stewartERR2027906,shiSRR873451,hessSRR094419,shiSRR873609,shiSRR873596,stewartERR2027896,stewartERR2027922,stewartERR2027918,stewartERR2027889,shiSRR873462,shiSRR873459,shiSRR873599,stewartERR2027911,hessSRR094415,shiSRR873604,shiSRR873597
MEG_994|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,0,0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,22.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,0,0,0,0,0,0,0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,0,0,157.0,0,0,0,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7220|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,3190.0,0,645.0,578.0,721.0,258.0,466.0,480.0,0,0,210.0,994.0,0,1032.0,472.0,699.0,968.0,231.0,0,551.0,762.0,1002.0,775.0,0,222.0,685.0,773.0,695.0,368.0,0,0,771.0,0,841.0,739.0,783.0,44.0,582.0,0,0,667.0,711.0,1119.0,775.0,0,537.0,1051.0,0,1044.0,1025.0,0,683.0,220.0,769.0,256.0,0,0,56.0,0,2860.0,607.0,0,829.0,772.0,0,44.0,760.0,670.0,0,244.0,957.0,801.0,0,1030.0,1298.0,0,270.0,202.0,37.0,0,312.0,581.0,691.0,577.0,972.0,738.0,0,831.0,0,247.0,1312.0,672.0,451.0,691.0,0,0,46.0,957.0,299.0,0,0
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,12501.0,0,144.0,375.0,96.0,360.0,107.0,86.0,0,0,89.0,608.0,0,232.0,96.0,219.0,253.0,58.0,0,212.0,2302.0,70.0,103.0,0,379.0,181.0,234.0,286.0,1608.0,0,0,103.0,0,161.0,124.0,207.0,0,133.0,0,0,738.0,373.0,150.0,341.0,0,0,124.0,0,196.0,533.0,0,528.0,406.0,77.0,422.0,0,0,0,0,10496.0,110.0,0,178.0,254.0,0,0,1297.0,216.0,0,367.0,826.0,131.0,0,107.0,202.0,0,0,131.0,0,0,402.0,535.0,212.0,459.0,120.0,390.0,0,2926.0,0,0,288.0,135.0,72.0,212.0,0,0,0,146.0,438.0,0,0
MEG_7852|Metals|Zinc_resistance|Zinc_resistance_protein|ZNEB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1679|Drugs|MLS|23S_rRNA_methyltransferases|CFR,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,0,0,0,0,0,0,0,0,0,0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,102.0,0,0,0,0,0,0,0,288.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,0,31.0,0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5815|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7302|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,10638.0,0,0,0,0,0,0,4136.0,5659.0,0,0,1282.0,0,805.0,880.0,0,451.0,0,0,0,4149.0,706.0,3492.0,0,0,1022.0,0,0,3570.0,0,0,5440.0,1008.0,0,843.0,2482.0,828.0,0,2678.0,0,0,0,0,3047.0,0,867.0,5962.0,0,0,0,0,0,864.0,0,2981.0,4671.0,2750.0,3726.0,0,0,2458.0,623.0,0,2521.0,2338.0,0,0,2713.0,0,0,0,2604.0,0,970.0,0,0,0,4260.0,2475.0,0,0,0,0,900.0,0,4213.0,0,2745.0,4771.0,1255.0,0,0,0,0,3743.0,2757.0,931.0,0,3195.0,4157.0
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,8249.0,0,5895.0,6479.0,5448.0,0,5449.0,5170.0,0,0,3850.0,6147.0,20460.0,7257.0,5706.0,8331.0,7973.0,2688.0,5769.0,5049.0,0,16280.0,5637.0,25436.0,0,6938.0,7133.0,6202.0,3213.0,0,0,7710.0,0,6441.0,5111.0,5821.0,18067.0,6544.0,0,0,6012.0,7939.0,7957.0,9908.0,0,0,5905.0,0,7620.0,8510.0,0,6012.0,0,6132.0,0,24389.0,0,23341.0,32103.0,7540.0,4271.0,20893.0,4867.0,5828.0,0,22312.0,7366.0,5427.0,26446.0,1290.0,10042.0,6468.0,23699.0,7937.0,7744.0,0,6777.0,4072.0,32896.0,21069.0,0,4297.0,5272.0,6849.0,6996.0,7156.0,0,0,26011.0,30355.0,9459.0,5508.0,4779.0,5272.0,0,0,24590.0,5630.0,0,26818.0,30407.0
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,4977.0,0,697.0,1541.0,378.0,0,653.0,0,0,0,130.0,835.0,0,640.0,391.0,3918.0,1702.0,168.0,0,1827.0,1599.0,657.0,280.0,0,0,177.0,419.0,4123.0,3076.0,0,0,700.0,0,435.0,430.0,604.0,0,530.0,0,0,1311.0,1645.0,1263.0,2292.0,0,1849.0,233.0,0,432.0,1166.0,0,2256.0,0,298.0,0,0,0,0,0,4186.0,0,0,1272.0,648.0,0,0,1938.0,1008.0,0,0,3555.0,840.0,0,1663.0,430.0,0,1093.0,202.0,0,0,0,2073.0,420.0,1227.0,454.0,2965.0,0,1890.0,0,0,315.0,248.0,824.0,420.0,0,0,0,681.0,144.0,0,0
MEG_7236|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2462|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1293|Drugs|betalactams|Class_A_betalactamases|BLAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
