"class","hessSRR094424","shiSRR873453","stewartERR2027897","stewartERR2027900","stewartERR2027917","hessSRR094417","stewartERR2027930","wallaceERR983267","shiSRR873460","shiSRR873452","stewartERR2027891","wallaceERR983263","shiSRR873606","stewartERR2027921","stewartERR2027890","stewartERR2027903","stewartERR2027904","wallaceERR2027890","shiSRR873603","stewartERR2027895","hessSRR094427","wallaceERR2282092","stewartERR2027928","shiSRR873601","hessSRR094416","wallaceERR983268","stewartERR2027914","stewartERR2027905","wallaceERR983265","shiSRR873461","shiSRR873450","stewartERR2027924","shiSRR873457","stewartERR2027919","stewartERR2027925","stewartERR2027910","shiSRR1267595","stewartERR2027927","shiSRR873463","stewartERR2027894","stewartERR2027899","stewartERR2027920","wallaceERR983264","shiSRR873455","wallaceERR2530126","stewartERR2027915","shiSRR873458","stewartERR2027916","stewartERR2027907","shiSRR873456","stewartERR2027901","hessSRR094403","stewartERR2027913","hessSRR094418","shiSRR873598","shiSRR873465","shiSRR873607","shiSRR873600","hessSRR094428","wallaceERR983269","shiSRR873602","stewartERR2027926","stewartERR2027923","shiSRR873464","shiSRR873608","stewartERR2027908","stewartERR2027893","shiSRR1222431","hessSRR094166","stewartERR2027898","stewartERR2027902","shiSRR873605","stewartERR2027909","stewartERR2027929","shiSRR873454","wallaceERR2530127","wallaceERR983266","shiSRR873595","shiSRR873610","hessSRR094405","wallaceERR983262","wallaceERR2027889","stewartERR2027892","stewartERR2027912","stewartERR2027906","shiSRR873451","hessSRR094419","shiSRR873609","shiSRR873596","stewartERR2027896","stewartERR2027922","stewartERR2027918","stewartERR2027889","shiSRR873462","shiSRR873459","shiSRR873599","stewartERR2027911","hessSRR094415","shiSRR873604","shiSRR873597"
"Aminoglycosides",60.2003775228692,0,35.0686125027227,52.4186455584873,30.3837953091684,24.8604769152714,16.2744116174261,20.7348126591488,0,0,19.6078431372549,120.952380952381,2.36135708580755,57.5275397796818,7.17054263565891,11.468260377968,40.3957131079967,7.04500978473581,1.25199671890515,6.57294139127259,60.4703247480403,0,21.3636363636364,0,27.8956943602183,18.9101766608609,33.9511519140828,66.9970267591675,301.060267857143,0,0,9.43396226415094,0,40.4290429042904,19.5663670015865,19.1049000530692,0,14.7945205479452,0,13.4852359916299,93.4715933985687,20.5335205335205,46.0829493087558,0,0,24.5554614733277,0.528006336076033,37.7478191911182,64.8148148148148,0,23.2262169901368,33.7013364323068,73.8963531669866,34.9050826699326,0,0,1.89334877711944,172.949900299103,61.5938156816643,25.4015689204333,0,27.4203754482177,7.008989791254,0,1.00878234037503,20.8530805687204,23.706405288352,0.823531896023819,27.6381909547739,36.7116700573331,22.1071499701255,1.20637961928078,9.31282630167913,21.4524699862232,0,0,14.0728476821192,3.71962707115598,2.46016304609992,34.3061955965182,164.242942686056,29.5885344429034,18.3740682960652,32.672849915683,146.79547596607,0,60.9080841638981,1.94455140546785,2.39257654628342,17.0864633966711,34.9408027721629,15.2817574021012,29.5885344429034,0,0,0,37.6020627417276,37.8640776699029,0,280.147312276628
"Drug and biocide resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.423822714681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72382851445663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192529842125529,0,0,0,0,0,0,0,0,0,0,0,1.45135247909145
"Arsenic resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82926221335992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multi-metal resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.990766389658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2632103688933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27332242225859,0,0.627988986039322,0,0,0,0,0.346680533888022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drug and biocide and metal resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90054835493519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"betalactams",1.51009147669522,0,9.80178610324548,2.63852242744063,9.59488272921109,0,17.0255383074612,10.1855220080029,0,0,4.06955234924158,0,0,6.64451827242525,10.077519379845,14.5372314650299,20.1154163231657,9.78473581213307,0,0,0,19.5326372611691,18.6363636363636,0,0,43.2943518288131,17.4952364455223,12.6858275520317,79.5200892857143,0,0,17.1698113207547,0,10.9323432343234,21.6816499206769,10.9676278082434,0,13.8812785388128,0,11.8577075098814,23.9520958083832,0,0,0,0,0,0,7.45440126883426,15.551959726717,0,7.95418390073179,0,11.5163147792706,0,0,0,0,33.6490528414756,1.85244558441096,0,0,18.9833368487661,9.29452994057596,0,0,18.4834123222749,23.2505128789606,0,0,23.3031255779545,13.7422824138618,0,9.31282630167913,2.95217476874631,0,0,24.8344370860927,25.022945751413,0,0,0,5.54785020804438,0,17.9173693086003,24.9764373232799,0,0,0,0,5.30269553689792,12.1282125324863,24.8328557784145,5.54785020804438,0,0,0,0,0,0,39.6944903031512
"MLS",679.105561202265,0,45.3060335438902,191.380826737027,46.1087420042644,252.663622526636,47.8217325988983,51.2913786831575,0,0,37.3658897521273,113.333333333333,0,49.1344640671446,27.906976744186,63.8022936520756,300.577081615828,26.2230919765166,0,55.5048384151908,345.912653975364,17.6148874209816,63.1818181818182,0.404829032024868,305.63978168587,57.2281662105001,53.5250303135285,207.135777998018,515.625,0,21.9591369104449,30.377358490566,0,47.6485148514851,60.5499735589635,45.9932779055369,0,41.0958904109589,0,324.575680074401,135.67985979261,34.9245349245349,250.18190637885,21.9842164599775,0,92.506350550381,0,44.4091990483743,245.325422509889,0,160.515431116767,317.838466008135,41.5067178502879,331.292100428659,0,0,0,38.0109670987039,610.950803320152,53.0444527456108,0,60.3248259860789,50.281883285083,0,0,346.682464454976,56.5306587645316,0,246.733668341709,112.909191788422,33.8577972515435,0,19.8955834626781,52.7455225349341,0,29.7326786688489,64.9834437086093,35.3847640210618,0,276.497695852535,233.190761334474,74.4336569579288,139.538914889929,49.114671163575,352.497643732328,0,381.556428068056,0,5.52879174884413,48.4607453233171,72.7692751949177,39.7962432346387,74.4336569579288,0,0,0,42.5440481306403,297.087378640777,0,0
"Copper resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.8969387030329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acid resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60518444666002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mercury resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.8259109311741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15914176648677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284991628370917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0949263502455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
