"mechanism","hessSRR094424","shiSRR873453","stewartERR2027897","stewartERR2027900","stewartERR2027917","hessSRR094417","stewartERR2027930","wallaceERR983267","shiSRR873460","shiSRR873452","stewartERR2027891","wallaceERR983263","shiSRR873606","stewartERR2027921","stewartERR2027890","stewartERR2027903","stewartERR2027904","wallaceERR2027890","shiSRR873603","stewartERR2027895","hessSRR094427","wallaceERR2282092","stewartERR2027928","shiSRR873601","hessSRR094416","wallaceERR983268","stewartERR2027914","stewartERR2027905","wallaceERR983265","shiSRR873461","shiSRR873450","stewartERR2027924","shiSRR873457","stewartERR2027919","stewartERR2027925","stewartERR2027910","shiSRR1267595","stewartERR2027927","shiSRR873463","stewartERR2027894","stewartERR2027899","stewartERR2027920","wallaceERR983264","shiSRR873455","wallaceERR2530126","stewartERR2027915","shiSRR873458","stewartERR2027916","stewartERR2027907","shiSRR873456","stewartERR2027901","hessSRR094403","stewartERR2027913","hessSRR094418","shiSRR873598","shiSRR873465","shiSRR873607","shiSRR873600","hessSRR094428","wallaceERR983269","shiSRR873602","stewartERR2027926","stewartERR2027923","shiSRR873464","shiSRR873608","stewartERR2027908","stewartERR2027893","shiSRR1222431","hessSRR094166","stewartERR2027898","stewartERR2027902","shiSRR873605","stewartERR2027909","stewartERR2027929","shiSRR873454","wallaceERR2530127","wallaceERR983266","shiSRR873595","shiSRR873610","hessSRR094405","wallaceERR983262","wallaceERR2027889","stewartERR2027892","stewartERR2027912","stewartERR2027906","shiSRR873451","hessSRR094419","shiSRR873609","shiSRR873596","stewartERR2027896","stewartERR2027922","stewartERR2027918","stewartERR2027889","shiSRR873462","shiSRR873459","shiSRR873599","stewartERR2027911","hessSRR094415","shiSRR873604","shiSRR873597"
"Aminoglycoside O-nucleotidyltransferases",57.6738783214752,0,35.0686125027227,46.7897977132806,17.3240938166311,24.8604769152714,16.2744116174261,20.7348126591488,0,0,19.6078431372549,120.952380952381,0,38.8179751704844,7.17054263565891,11.468260377968,35.2844187963726,7.04500978473581,1.25199671890515,6.57294139127259,60.4703247480403,0,11.3636363636364,0,27.8956943602183,18.9101766608609,8.66100814134765,65.0148662041625,284.040178571428,0,0,9.43396226415094,0,19.8019801980198,19.5663670015865,13.4441889262339,0,9.68036529680365,0,13.4852359916299,51.4093763692128,20.5335205335205,46.0829493087558,0,0,24.5554614733277,0.528006336076033,15.8604282315623,53.0384753685724,0,23.2262169901368,33.7013364323068,13.6756238003839,34.9050826699326,0,0,1.89334877711944,0,61.5938156816643,25.4015689204333,0,24.6783379033959,7.008989791254,0,1.00878234037503,20.8530805687204,23.706405288352,0.823531896023819,27.6381909547739,20.1590530793416,22.1071499701255,1.20637961928078,9.31282630167913,14.9576854949813,0,0,14.0728476821192,3.71962707115598,0.659259378366645,34.3061955965182,88.9649272882806,10.4022191400832,14.0405616224649,17.495784148398,107.445805843544,0,60.9080841638981,0,2.39257654628342,17.0864633966711,34.9408027721629,15.2817574021012,10.4022191400832,0,0,0,37.6020627417276,37.8640776699029,0,58.4350791894196
"Aminoglycoside O-phosphotransferases",0,0,0,5.62884784520668,0,0,0,0,0,0,0,0,0.902871826926416,10.3164888966603,0,0,5.11129431162407,0,0,0,0,0,10,0,0,0,14.723713840291,1.98216055500496,17.0200892857143,0,0,0,0,13.2013201320132,0,5.66071112683531,0,5.11415525114155,0,0,42.0622170293559,0,0,0,0,0,0,13.1641554321967,11.7763394462424,0,0,0,40.7869481765835,0,0,0,0,47.7006480558325,0,0,0,2.74203754482177,0,0,0,0,0,0,0,16.5526169779915,0,0,0,0,0,0,0,0,0,0,75.2780153977759,14.7942672214517,4.33350667360028,6.11298482293423,39.3496701225259,0,0,0,0,0,0,0,14.7942672214517,0,0,0,0,0,0,92.4511529181256
"Drug and biocide RND efflux pumps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.423822714681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192529842125529,0,0,0,0,0,0,0,0,0,0,0,0
"Arsenic resistance regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93469591226321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Multi-metal resistance protein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.40848071596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8300099700897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27332242225859,0,0.627988986039322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drug and biocide and metal RND efflux regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90054835493519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillin binding protein regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Class A betalactamases",1.51009147669522,0,9.80178610324548,2.63852242744063,9.59488272921109,0,17.0255383074612,10.1855220080029,0,0,4.06955234924158,0,0,6.64451827242525,10.077519379845,14.5372314650299,20.1154163231657,9.78473581213307,0,0,0,5.46913843312735,14.7727272727273,0,0,43.2943518288131,17.4952364455223,12.6858275520317,79.5200892857143,0,0,17.1698113207547,0,10.9323432343234,21.6816499206769,10.9676278082434,0,13.8812785388128,0,11.8577075098814,23.9520958083832,0,0,0,0,0,0,7.45440126883426,15.551959726717,0,7.95418390073179,0,11.5163147792706,0,0,0,0,33.6490528414756,1.85244558441096,0,0,18.9833368487661,9.29452994057596,0,0,18.4834123222749,23.2505128789606,0,0,23.3031255779545,13.7422824138618,0,9.31282630167913,2.95217476874631,0,0,24.8344370860927,25.022945751413,0,0,0,5.54785020804438,0,17.9173693086003,24.9764373232799,0,0,0,0,5.30269553689792,12.1282125324863,24.8328557784145,5.54785020804438,0,0,0,0,0,0,0
"Multi-metal resistance regulator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52894381703246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346680533888022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23S rRNA methyltransferases",0,0,2.17817468961011,33.245382585752,6.92963752665245,0,0,0,0,0,0,0,0,0,0,9.36843805524148,86.7271228359439,0,0,0,0,0,2.95454545454545,0.404829032024868,0,0,1.55898146544258,52.7254707631318,8.09151785714286,0,0,0,0,0,0,0,0,0,0,41.6182283189956,54.6224623922886,3.68550368550369,0,0,0,0,0,0,113.807982740022,0,42.6344257079224,0,0,0,0,0,0,0,0,0,0,5.27314912465725,0,0,0,11.1374407582938,0,0,0,24.042907342334,0,0,0,0,0,0,0,0,0,0,27.0316509837468,0,26.6944011093777,7.37774030354132,94.2507068803016,0,0,0,1.45494519706424,0,0,0,0,0,0,0,0,0,0,0
