"group","hessSRR094424","shiSRR873453","stewartERR2027897","stewartERR2027900","stewartERR2027917","hessSRR094417","stewartERR2027930","wallaceERR983267","shiSRR873460","shiSRR873452","stewartERR2027891","wallaceERR983263","shiSRR873606","stewartERR2027921","stewartERR2027890","stewartERR2027903","stewartERR2027904","wallaceERR2027890","shiSRR873603","stewartERR2027895","hessSRR094427","wallaceERR2282092","stewartERR2027928","shiSRR873601","hessSRR094416","wallaceERR983268","stewartERR2027914","stewartERR2027905","wallaceERR983265","shiSRR873461","shiSRR873450","stewartERR2027924","shiSRR873457","stewartERR2027919","stewartERR2027925","stewartERR2027910","shiSRR1267595","stewartERR2027927","shiSRR873463","stewartERR2027894","stewartERR2027899","stewartERR2027920","wallaceERR983264","shiSRR873455","wallaceERR2530126","stewartERR2027915","shiSRR873458","stewartERR2027916","stewartERR2027907","shiSRR873456","stewartERR2027901","hessSRR094403","stewartERR2027913","hessSRR094418","shiSRR873598","shiSRR873465","shiSRR873607","shiSRR873600","hessSRR094428","wallaceERR983269","shiSRR873602","stewartERR2027926","stewartERR2027923","shiSRR873464","shiSRR873608","stewartERR2027908","stewartERR2027893","shiSRR1222431","hessSRR094166","stewartERR2027898","stewartERR2027902","shiSRR873605","stewartERR2027909","stewartERR2027929","shiSRR873454","wallaceERR2530127","wallaceERR983266","shiSRR873595","shiSRR873610","hessSRR094405","wallaceERR983262","wallaceERR2027889","stewartERR2027892","stewartERR2027912","stewartERR2027906","shiSRR873451","hessSRR094419","shiSRR873609","shiSRR873596","stewartERR2027896","stewartERR2027922","stewartERR2027918","stewartERR2027889","shiSRR873462","shiSRR873459","shiSRR873599","stewartERR2027911","hessSRR094415","shiSRR873604","shiSRR873597"
"ANT9",288,0,0,22,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,129,0,0,27,0,18,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,0,0,90,0,0,0,0,0,0,0,0,0,22,10,0,2613
"APH2-DPRIME",0,0,0,16,0,0,0,0,0,0,0,0,52,59,0,0,16,0,0,0,0,0,44,0,0,0,85,10,13,0,0,0,0,64,0,32,0,28,0,0,114,0,0,0,0,0,0,83,45,0,0,0,170,0,0,0,0,1531,0,0,0,13,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,117,64,25,29,74,0,0,0,0,0,0,0,64,0,0,0,0,0,0,4754
"APH3-DPRIME",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,323,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342
"ARMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"ARSR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARSRM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLAI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CADD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
