stewartERR2027890.kraken.filtered.report,shiSRR873458.kraken.filtered.report,shiSRR873455.kraken.filtered.report,stewartERR2027917.kraken.filtered.report,shiSRR873463.kraken.filtered.report,wallaceERR983265.kraken.filtered.report,shiSRR873599.kraken.filtered.report,wallaceERR983268.kraken.filtered.report,stewartERR2027895.kraken.filtered.report,hessSRR094166.kraken.filtered.report,stewartERR2027928.kraken.filtered.report,stewartERR2027923.kraken.filtered.report,shiSRR873457.kraken.filtered.report,hessSRR094424.kraken.filtered.report,shiSRR873597.kraken.filtered.report,shiSRR873452.kraken.filtered.report,hessSRR094418.kraken.filtered.report,shiSRR873460.kraken.filtered.report,stewartERR2027903.kraken.filtered.report,stewartERR2027908.kraken.filtered.report,shiSRR873602.kraken.filtered.report,shiSRR873596.kraken.filtered.report,stewartERR2027927.kraken.filtered.report,stewartERR2027929.kraken.filtered.report,stewartERR2027912.kraken.filtered.report,wallaceERR983264.kraken.filtered.report,shiSRR873459.kraken.filtered.report,shiSRR873606.kraken.filtered.report,shiSRR873604.kraken.filtered.report,stewartERR2027909.kraken.filtered.report,stewartERR2027920.kraken.filtered.report,shiSRR873454.kraken.filtered.report,shiSRR873462.kraken.filtered.report,stewartERR2027889.kraken.filtered.report,stewartERR2027916.kraken.filtered.report,shiSRR873464.kraken.filtered.report,stewartERR2027891.kraken.filtered.report,shiSRR873595.kraken.filtered.report,stewartERR2027900.kraken.filtered.report,hessSRR094416.kraken.filtered.report,shiSRR873609.kraken.filtered.report,wallaceERR983263.kraken.filtered.report,hessSRR094415.kraken.filtered.report,stewartERR2027925.kraken.filtered.report,shiSRR1222431.kraken.filtered.report,stewartERR2027898.kraken.filtered.report,stewartERR2027918.kraken.filtered.report,shiSRR873456.kraken.filtered.report,hessSRR094419.kraken.filtered.report,hessSRR094403.kraken.filtered.report,shiSRR873598.kraken.filtered.report,shiSRR873605.kraken.filtered.report,stewartERR2027926.kraken.filtered.report,hessSRR094417.kraken.filtered.report,stewartERR2027915.kraken.filtered.report,stewartERR2027897.kraken.filtered.report,shiSRR873607.kraken.filtered.report,stewartERR2027924.kraken.filtered.report,stewartERR2027902.kraken.filtered.report,wallaceERR2027890.kraken.filtered.report,shiSRR1222429.kraken.filtered.report,wallaceERR2530126.kraken.filtered.report,wallaceERR2027889.kraken.filtered.report,stewartERR2027899.kraken.filtered.report,shiSRR1267595.kraken.filtered.report,stewartERR2027919.kraken.filtered.report,shiSRR873608.kraken.filtered.report,shiSRR873451.kraken.filtered.report,hessSRR094428.kraken.filtered.report,shiSRR873601.kraken.filtered.report,stewartERR2027910.kraken.filtered.report,stewartERR2027907.kraken.filtered.report,hessSRR094427.kraken.filtered.report,shiSRR873610.kraken.filtered.report,wallaceERR983269.kraken.filtered.report,stewartERR2027921.kraken.filtered.report,hessSRR094405.kraken.filtered.report,wallaceERR983266.kraken.filtered.report,shiSRR873465.kraken.filtered.report,stewartERR2027913.kraken.filtered.report,wallaceERR983262.kraken.filtered.report,stewartERR2027905.kraken.filtered.report,shiSRR873461.kraken.filtered.report,stewartERR2027911.kraken.filtered.report,shiSRR873453.kraken.filtered.report,stewartERR2027914.kraken.filtered.report,stewartERR2027901.kraken.filtered.report,wallaceERR983267.kraken.filtered.report,stewartERR2027893.kraken.filtered.report,stewartERR2027892.kraken.filtered.report,shiSRR873603.kraken.filtered.report,stewartERR2027904.kraken.filtered.report,stewartERR2027896.kraken.filtered.report,stewartERR2027894.kraken.filtered.report,wallaceERR2530127.kraken.filtered.report,stewartERR2027906.kraken.filtered.report,wallaceERR2282092.kraken.filtered.report,stewartERR2027930.kraken.filtered.report,stewartERR2027922.kraken.filtered.report,shiSRR873600.kraken.filtered.report,shiSRR873450.kraken.filtered.report
"Bacteria",5031.0,46.0,88.0,5891.0,16.0,21461.0,1113.0,25654.0,6051.0,1167.0,6020.0,6892.0,47.0,14976.0,1846.0,85.0,1340.0,21.0,6676.0,6557.0,648.0,3403.0,5327.0,10854.0,8023.0,27516.0,21.0,259.0,456.0,7541.0,9261.0,31.0,14.0,6527.0,9650.0,15.0,2177.0,3575.0,7859.0,1160.0,1197.0,22364.0,1024.0,6449.0,707.0,9640.0,4146.0,57.0,14790.0,1072.0,1357.0,734.0,6689.0,1312.0,9622.0,5777.0,686.0,6866.0,6945.0,2573.0,4.0,10976.0,6527.0,5988.0,633.0,6936.0,768.0,135.0,9408.0,891.0,6955.0,8300.0,8862.0,477.0,14911.0,8985.0,1055.0,11563.0,44.0,6186.0,18617.0,6880.0,24.0,7904.0,60.0,6907.0,6432.0,19151.0,6524.0,6025.0,182.0,8430.0,9669.0,5609.0,50207.0,6015.0,23032.0,4316.0,5658.0,2780.0,169.0
"Bacteria|NA|Actinobacteria",41.0,6.0,2.0,64.0,0.0,128.0,43.0,47.0,163.0,19.0,75.0,56.0,0.0,334.0,471.0,4.0,28.0,0.0,136.0,91.0,49.0,409.0,58.0,121.0,68.0,124.0,0.0,4.0,9.0,383.0,114.0,0.0,0.0,39.0,83.0,0.0,28.0,353.0,144.0,15.0,4.0,149.0,13.0,35.0,8.0,102.0,26.0,5.0,534.0,19.0,279.0,16.0,63.0,23.0,57.0,77.0,19.0,66.0,72.0,24.0,0.0,41.0,39.0,53.0,27.0,62.0,4.0,16.0,286.0,641.0,78.0,338.0,365.0,4.0,49.0,122.0,21.0,43.0,0.0,29.0,87.0,161.0,0.0,86.0,11.0,55.0,376.0,33.0,88.0,190.0,19.0,292.0,49.0,396.0,44.0,238.0,1270.0,40.0,47.0,279.0,2.0
"Bacteria|NA|Actinobacteria|Actinobacteria",106.0,0.0,0.0,5.0,0.0,5.0,14.0,12.0,13.0,3.0,16.0,81.0,1.0,13.0,8.0,0.0,1.0,0.0,317.0,42.0,7.0,46.0,16.0,322.0,6.0,12.0,0.0,11.0,13.0,450.0,19.0,0.0,0.0,16.0,22.0,0.0,8.0,31.0,0.0,2.0,18.0,16.0,0.0,22.0,16.0,11.0,5.0,1.0,84.0,3.0,14.0,3.0,1.0,3.0,66.0,19.0,11.0,4.0,85.0,53.0,0.0,6.0,16.0,3.0,2.0,13.0,6.0,0.0,16.0,1.0,19.0,2.0,102.0,10.0,8.0,121.0,2.0,31.0,0.0,5.0,25.0,5.0,0.0,9.0,1.0,6.0,7.0,3.0,4.0,10.0,3.0,11.0,142.0,6.0,6.0,2.0,212.0,62.0,36.0,31.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae",8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,5.0,0.0,11.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,23.0,3.0,2.0,0.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium",387.0,0.0,0.0,57.0,0.0,26.0,3.0,103.0,56.0,0.0,5.0,299.0,0.0,17.0,0.0,0.0,0.0,0.0,3960.0,171.0,0.0,173.0,17.0,3426.0,5.0,13.0,0.0,0.0,0.0,5190.0,146.0,0.0,0.0,50.0,42.0,0.0,5.0,3.0,12.0,1.0,0.0,42.0,2.0,320.0,0.0,45.0,5.0,0.0,53.0,1.0,0.0,0.0,3.0,1.0,381.0,76.0,0.0,8.0,566.0,172.0,0.0,42.0,50.0,4.0,0.0,3.0,1.0,2.0,20.0,0.0,34.0,19.0,50.0,0.0,65.0,1343.0,0.0,667.0,0.0,12.0,290.0,14.0,0.0,55.0,0.0,5.0,6.0,25.0,6.0,13.0,0.0,12.0,475.0,7.0,23.0,11.0,747.0,299.0,104.0,1.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium pseudolongum",27099.0,2.0,2.0,1236.0,2.0,1502.0,92.0,631.0,1370.0,1.0,82.0,21944.0,12.0,3.0,307.0,2.0,0.0,0.0,55590.0,7496.0,219.0,54.0,274.0,73533.0,139.0,306.0,1.0,20.0,113.0,64831.0,4903.0,0.0,2.0,4946.0,2375.0,2.0,27.0,155.0,344.0,0.0,270.0,414.0,0.0,3875.0,218.0,1114.0,122.0,1.0,5.0,0.0,189.0,201.0,67.0,0.0,16994.0,3137.0,86.0,78.0,18924.0,12992.0,1.0,47.0,4946.0,163.0,46.0,107.0,53.0,0.0,1.0,209.0,1579.0,311.0,1.0,44.0,1453.0,19156.0,0.0,7833.0,0.0,310.0,11504.0,225.0,1.0,919.0,4.0,149.0,501.0,52.0,63.0,411.0,19.0,305.0,29406.0,193.0,118.0,645.0,1985.0,14659.0,8075.0,96.0,2.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium angulatum",231.0,0.0,0.0,68.0,0.0,2.0,0.0,2.0,60.0,0.0,6.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,10538.0,321.0,3.0,0.0,18.0,8046.0,5.0,2.0,0.0,0.0,0.0,6963.0,375.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,943.0,0.0,76.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,520.0,84.0,0.0,1.0,1325.0,109.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,126.0,2326.0,0.0,195.0,0.0,14.0,0.0,8.0,0.0,137.0,0.0,6.0,10.0,0.0,5.0,8.0,0.0,9.0,128.0,7.0,0.0,21.0,20.0,527.0,6.0,0.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium adolescentis",70.0,0.0,0.0,245.0,0.0,52.0,0.0,3026.0,839.0,0.0,3.0,188.0,0.0,0.0,1.0,0.0,0.0,0.0,20689.0,117.0,0.0,1.0,90.0,2937.0,3.0,14.0,0.0,0.0,1.0,104588.0,61.0,0.0,0.0,17.0,279.0,0.0,13.0,0.0,18.0,0.0,0.0,1148.0,0.0,166.0,0.0,268.0,17.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,433.0,1698.0,0.0,15.0,303.0,43.0,0.0,152.0,17.0,4.0,0.0,57.0,0.0,0.0,0.0,1.0,103.0,26.0,0.0,0.0,332.0,15196.0,0.0,16883.0,0.0,65.0,16.0,51.0,0.0,73.0,0.0,130.0,60.0,419.0,47.0,2.0,1.0,43.0,422.0,3.0,265.0,149.0,4050.0,62.0,57.0,0.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium choerinum",26.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,12.0,0.0,0.0,0.0,156.0,0.0,1.0,0.0,0.0,0.0,451.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,0.0,0.0,31.0,11.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,5.0,34.0,0.0,18.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,134.0,0.0,0.0,1.0,6.0,7.0,2.0,0.0,0.0
"Bacteria|NA|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium animalis",26.0,0.0,0.0,5.0,0.0,4.0,0.0,2.0,10.0,2.0,0.0,14.0,0.0,13.0,3.0,0.0,4.0,0.0,126.0,8.0,0.0,1.0,5.0,135.0,13.0,2.0,0.0,0.0,0.0,131.0,7.0,0.0,0.0,4.0,5.0,0.0,1.0,2.0,13.0,5.0,1.0,1.0,0.0,3.0,0.0,5.0,2.0,0.0,7.0,1.0,1.0,0.0,4.0,3.0,18.0,12.0,0.0,8.0,18.0,14.0,0.0,1.0,4.0,5.0,0.0,8.0,0.0,0.0,12.0,1.0,6.0,25.0,12.0,1.0,6.0,30.0,1.0,24.0,0.0,3.0,20.0,9.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,26.0,2.0,12.0,102.0,6.0,0.0,9.0,26.0,18.0,10.0,4.0,0.0
