"Class","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Thermoprotei",7264,982,548,4007,390,7676,11360,3566,5348,399,6272,3824,563,4584,23393,437,364,687,3516,4343,12233,9941,4741,3762,6290,2739,485,12248,10439,2812,5431,434,820,9069,5098,491,7598,9400,3627,378,12881,2582,476,4117,10941,7343,4247,380,285,392,13706,9847,3584,411,3987,12827,11603,5410,4728,3548,36,768,9069,4202,8761,3713,11707,407,4475,11411,4156,3928,249,13423,2067,4457,439,2281,724,5021,2265,2550,643,4906,590,4554,4511,3160,5183,3169,3217,3310,9883,2791,1063,1499,3536,5516,3570,18195,255
"Archaeoglobi",808,119,408,774,106,836,1753,740,835,140,851,697,86,1546,3734,216,111,95,481,980,2017,1846,937,711,1050,1015,145,2033,2631,798,977,56,384,1002,1283,114,723,1738,425,151,2163,662,135,797,2475,1379,638,76,80,131,2987,2124,742,151,789,1485,2363,821,862,406,14,463,1002,1645,1461,819,2359,128,1516,1418,841,656,87,2421,623,703,132,376,118,882,465,928,195,853,146,906,976,671,828,1100,585,920,1488,914,547,781,1524,829,766,2220,52
"Halobacteria",11918,2407,1114,14573,1567,4258,31040,12548,11560,3401,16386,13008,1730,25386,39296,1620,3505,2271,10926,17376,28680,30855,19669,15184,20006,14226,1724,33504,38980,13472,19701,1271,1751,14678,19776,1859,11177,35062,12267,3412,45726,10082,3688,12990,49596,11541,12780,1265,1357,3346,24928,39260,14006,3715,14161,16301,38457,17117,16592,5508,238,9672,14678,15809,23889,19018,38476,1515,28750,36902,13479,10046,1540,34768,10166,18204,3523,4884,2283,15947,5696,15884,2238,14060,3182,20294,12670,10926,11664,16951,10299,16771,22493,16970,7528,14428,32985,11590,16118,37084,1139
"Methanobacteria",174069,30601,18997,570442,5603,785601,190224,582148,129536,10863,667798,366050,2254,173827,617288,2214,10355,7230,205814,584443,263350,190076,518347,418053,693117,97036,21756,135551,409027,286886,806335,1086,27840,301685,632731,11632,213762,283153,159532,10534,408835,245046,14458,576903,270870,283775,671686,2424,24384,10617,218877,386003,419505,11045,570462,739893,557315,1139036,678713,83701,1244,2688,301685,152638,87808,434749,294659,5771,129394,437406,382197,294522,17014,373507,547612,319822,11160,142074,14529,636370,116941,327612,39958,566689,3228,529419,306327,440748,211992,180375,90617,138142,334080,121853,7044,158934,208872,253106,326771,544847,2409
"Methanococci",6201,347,450,5617,183,12989,9028,4392,5647,174,7644,4126,207,3132,26788,121,144,197,3622,5371,13748,9870,5557,4248,7818,3225,324,6981,7876,3455,7338,72,454,8982,6041,295,7576,12351,4126,151,9374,3547,211,5594,7886,8461,6586,97,193,159,16169,9009,4214,147,5295,13490,11107,9437,6684,3017,44,278,8982,5151,7942,3920,10212,144,2320,12473,4576,3969,109,12012,3897,4320,157,2268,274,6475,3244,3290,268,5679,116,5517,5582,4117,5189,3801,3648,4163,8273,3237,1110,2632,2170,5615,3974,19375,117
"Methanomicrobia",11622,1910,2206,10869,1374,13941,27169,10672,9958,2467,13527,10524,1585,35169,44585,1193,2472,1510,9946,11915,32250,26868,12904,11839,15512,10200,1660,25246,31961,12235,14867,847,2036,14547,14842,1314,10641,30169,9708,2411,34476,8879,2702,9965,33462,13216,9652,737,3258,2345,26488,30736,9816,2505,11038,17143,33759,13705,12159,5685,198,6634,14547,12585,19726,12837,33151,1129,32320,32073,10834,12188,2931,28666,8192,12831,2461,6976,1735,13121,6957,8893,1723,11704,2016,13387,10752,9499,9902,9608,8110,12945,19194,9591,7141,9564,19951,10970,10996,34760,867
"Methanopyri",137,25,24,165,19,67,205,166,76,48,162,139,23,359,567,11,54,39,47,153,328,281,179,209,217,98,18,251,334,94,146,20,24,153,162,24,95,290,61,31,501,99,45,136,530,69,119,48,22,40,222,475,135,46,161,131,342,131,155,71,1,82,153,101,181,217,393,28,353,451,100,38,18,286,136,158,34,82,24,169,82,122,18,145,26,195,79,122,44,68,65,148,195,54,42,59,204,123,154,400,14
"Thermococci",4006,1088,648,4160,868,3996,13783,4083,4028,772,4811,4656,1031,7676,17679,819,770,971,3385,4793,14300,11996,5179,4574,5882,4832,1150,11029,14543,4510,5876,667,917,4827,6013,869,3379,12523,4755,768,15356,4215,847,3780,15338,6852,3565,548,396,802,11130,14152,4050,771,4553,5507,14488,4921,4969,1921,77,2948,4827,5785,10268,5049,15091,733,7767,13372,4557,4426,429,13170,3048,5687,807,2302,1167,4807,2616,5397,983,4388,1167,5354,4141,3514,4159,5272,3568,6219,7191,5587,2838,3970,9739,3876,4173,14452,521
"Thermoplasmata",15896,13641,4422,10044,10402,5081,158231,16232,16798,5748,10196,12995,6049,107402,204294,4258,5649,10737,21474,31432,243264,128326,12615,10031,11110,7749,10047,142074,224624,12264,14290,4394,8173,25735,12321,8564,16732,127833,11044,5586,83805,12685,6457,6478,198054,24886,7027,3733,13156,5644,119357,146563,6317,5838,9660,15943,180814,12823,9641,7223,811,6690,25735,6790,96449,11613,197963,5126,99352,75887,19652,7245,12025,163170,8656,14549,5680,5615,9959,9247,3715,20469,10162,15495,6599,13615,12700,9094,23892,21270,46402,5299,45449,9992,3999,9270,15530,16789,10513,133655,3385
"Nitrososphaeria",1154,283,401,758,122,1317,4022,614,1093,154,1096,819,105,1823,11632,109,105,90,677,1727,4737,4119,899,669,1118,1785,153,4345,3367,1054,1008,72,113,1516,882,105,1184,3272,1724,123,4530,439,155,954,3458,2472,837,68,99,125,2145,3642,617,122,757,2166,4541,949,925,564,18,300,1516,1252,1338,657,4515,104,1592,3855,771,750,76,2325,410,702,112,289,118,935,1109,1858,198,951,158,827,2299,618,2212,1687,1431,1960,3062,1488,659,892,1476,1021,1315,8117,21
"Acidobacteria subdivision 6",1544,438,161,1896,345,483,4364,1447,1220,428,2137,1328,300,3524,6212,320,460,472,934,2070,6252,3965,2799,1713,2460,966,289,4406,5606,1691,2309,237,277,1832,2450,336,1571,5327,1553,429,5395,1075,463,1627,6215,1215,1718,298,242,458,4469,5397,1856,432,1573,2314,4823,2109,2214,707,44,1218,1832,1281,2857,2243,6605,271,3918,5741,1546,1494,209,4037,1395,2222,397,584,335,1994,633,1047,432,1513,547,2699,938,1507,1372,1540,1440,1509,2771,1309,1270,1022,3640,1313,2127,4792,241
"Acidobacteriia",7137,2955,1416,8054,1780,3293,23070,8279,7057,1939,9007,7649,2500,17573,27734,2198,1987,2666,7128,10384,22199,22613,10485,8561,10868,10178,1982,24347,27691,9247,11164,1412,1745,8260,10944,2022,6276,25287,8032,1963,30411,6588,2152,6859,30864,9020,6957,1728,1035,1978,21347,27522,7777,2018,8591,8710,26944,9911,9212,3379,152,6394,8260,8804,17813,9884,27830,1453,18589,24898,7819,7590,1076,24979,6344,10680,1885,3407,2938,8357,4426,9176,2690,7837,3635,10845,7787,6787,6757,9038,7106,10316,13745,9098,6535,8715,18988,7181,8767,29869,1200
"Blastocatellia",546,126,77,645,74,311,1666,641,570,158,656,657,89,1429,2537,104,158,129,761,752,1192,1148,870,679,809,552,93,1671,2299,1233,919,70,79,671,888,141,465,1663,680,161,2329,457,157,593,2829,737,548,113,81,172,1731,2518,526,158,770,760,1779,744,729,271,14,696,671,651,1481,741,1840,63,1659,2867,578,454,86,1562,479,1080,185,263,127,773,318,488,102,679,227,853,607,557,545,691,478,952,1265,504,527,612,1618,530,666,1903,59
"Solibacteres",1699,355,244,1713,254,545,3952,1645,1082,515,1944,1523,230,4060,6558,192,459,362,1569,1938,2866,4228,2422,1830,2282,1582,320,4312,5361,1595,2372,219,271,1939,2486,276,1323,5086,1438,499,4958,1138,506,1493,5958,1715,1435,230,252,446,3377,5113,1629,522,1692,1960,4635,2413,2158,801,34,628,1939,1651,3500,2207,5021,192,4549,4938,1467,1485,270,4355,1270,2173,456,533,340,1919,887,1394,304,1867,533,2307,1144,1325,1426,1356,1462,1745,2204,1330,691,796,2567,1523,1993,5707,167
"Acidimicrobiia",299,122,40,392,73,131,812,285,257,95,346,266,40,839,706,82,101,75,263,385,532,796,486,327,405,356,41,654,907,187,406,58,73,344,488,49,322,593,382,92,1097,305,98,272,1027,371,277,57,60,105,615,1021,255,111,306,452,881,375,360,131,4,260,344,431,334,370,1548,53,1028,987,302,268,76,1013,248,354,105,114,104,393,216,256,45,252,67,475,215,314,222,417,266,322,460,652,245,429,893,293,344,937,33
"Actinobacteria",536906,134278,57623,533031,85289,144300,1148722,460201,406293,133476,610557,546851,103466,927506,1380541,76728,131953,119390,1321318,635228,1078348,1174375,707632,1302695,707977,475246,87340,1120773,1418799,1508509,700098,73408,84793,570737,729437,101030,407376,1264304,469938,132146,1737825,402948,139501,496132,1888011,433391,420520,68699,52291,129829,917128,1452976,512884,138568,608385,593616,1412947,595695,740876,248930,8391,340536,570737,486343,738619,692033,1439825,72889,1028925,1387974,513552,395978,60389,1148832,390926,1001007,132430,250085,120789,580257,244324,496820,115918,557058,147751,719844,405847,402122,412239,543564,351264,534583,977290,566201,294279,478011,1551698,503112,612524,1324285,60279
"Coriobacteriia",135047,58998,91129,168627,25111,90507,849675,126273,258611,29599,159708,165734,60353,192369,2473441,48315,28518,41335,251196,178462,860099,1137262,177430,183956,203770,302854,27391,207458,500794,640176,216960,40598,30115,154670,254834,34397,87128,1837093,207635,29092,693367,187878,31058,130990,692769,244268,121228,48738,13033,28367,1579442,537756,133033,30318,182494,167995,631899,201093,169742,62528,4248,197394,154670,245355,325301,204833,397668,62298,208747,1149180,187615,500197,14814,362259,117698,321958,29224,76938,33841,170505,118064,302633,33438,192234,147429,196597,427291,117341,114282,200670,178628,366491,200767,200828,147260,578102,1807799,120304,165736,1818312,81942
"Nitriliruptoria",2644,1750,360,3164,598,727,6580,2791,2673,863,3339,2750,643,6826,8048,626,909,1151,2229,3418,5642,6025,4325,3409,4272,2712,681,7996,9628,2026,4088,417,547,3516,4348,749,2333,7432,2881,814,11349,2695,954,2541,12427,2019,2583,528,435,853,5185,9145,3057,899,3260,3584,8854,3165,3829,1214,68,1817,3516,3340,5411,4125,9266,485,7464,9122,3250,2018,456,7940,2489,4368,868,1252,998,3320,994,3425,1020,3365,1154,4428,2215,2541,1949,3756,2149,2438,5171,3549,1676,2726,7011,2682,3644,7353,393
"Rubrobacteria",3233,926,427,4246,566,1106,10458,3682,3312,1176,4447,3692,656,8678,11545,591,1073,753,2739,4365,9842,8121,5523,4438,5611,4216,607,10124,12622,3646,5325,405,604,4220,5627,583,3150,11288,4740,1113,15071,3515,1215,3398,16380,3537,3156,529,446,1089,9744,13235,4084,1220,4107,4571,12526,4376,4722,1473,62,2210,4220,3818,6980,5385,13270,491,9844,13206,3892,3806,565,10516,3284,5799,1057,1452,746,4585,1863,3651,752,4301,1072,5943,3173,3390,2970,4681,3315,4393,6999,5205,2127,3705,10021,3185,4944,10726,554
