"Family","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Acidilobaceae",79,25,16,81,33,47,270,82,91,29,170,94,15,244,283,12,24,35,92,175,193,389,110,90,151,56,39,678,636,97,115,14,16,129,102,49,83,273,85,17,875,118,38,122,1027,88,106,21,16,22,174,504,91,37,91,165,427,97,154,36,0,19,129,29,160,138,439,18,315,579,140,844,27,554,70,130,30,41,79,98,43,42,71,130,27,159,69,79,73,72,74,58,402,75,22,31,127,100,110,369,16
"Caldisphaeraceae",425,11,15,246,9,597,356,184,383,2,435,177,2,104,1864,2,4,21,139,293,712,554,249,218,343,142,8,484,361,99,299,2,47,573,207,15,601,368,234,2,454,130,8,217,316,433,265,1,7,5,642,292,201,2,193,892,490,335,331,200,1,6,573,195,572,185,638,5,101,363,281,256,5,932,112,235,0,93,20,279,158,142,13,309,7,268,261,169,378,245,165,173,566,105,17,85,54,292,121,1132,1
"Desulfurococcaceae",982,219,83,666,84,578,1159,689,484,80,755,541,217,850,2198,137,78,134,427,992,1192,1921,715,634,870,423,138,2249,1710,370,1024,78,106,875,786,83,713,2273,560,77,1674,362,94,649,1605,804,585,180,52,88,1069,1564,576,70,614,1244,1601,808,635,447,5,109,875,413,1243,596,1713,74,832,1916,744,289,53,1812,386,577,84,234,138,612,315,354,184,691,238,684,494,453,692,484,424,391,1175,615,126,270,438,681,550,2218,49
"Pyrodictiaceae",125,60,22,105,34,43,503,118,60,26,193,107,18,261,828,61,29,99,194,139,393,459,187,152,211,267,13,705,665,119,147,76,75,121,179,25,108,476,153,32,1087,123,29,118,607,107,141,31,21,23,1377,615,115,30,150,215,605,295,183,63,5,40,121,148,371,145,486,8,240,642,103,66,18,729,91,165,34,30,57,164,93,71,13,106,28,188,116,129,74,76,139,125,193,62,31,64,134,120,108,858,8
"Fervidicoccaceae",145,5,4,71,3,230,123,113,185,6,147,83,5,75,497,1,4,3,34,122,196,148,102,73,108,138,2,198,128,42,119,0,11,257,96,5,179,102,103,10,189,67,5,83,174,237,113,0,6,6,202,107,66,3,100,342,179,88,62,69,0,39,257,41,110,60,327,3,50,111,73,56,1,292,36,107,5,108,4,94,148,53,6,98,2,90,122,73,104,42,50,183,195,67,30,21,129,131,57,308,0
"Sulfolobaceae",4512,295,356,2012,111,5295,4307,1555,3483,114,3589,1933,175,1690,13651,152,74,216,1701,1661,5344,4536,2195,1689,3428,1184,173,5718,4316,1157,2550,139,474,5921,2438,213,4968,3781,1646,98,5853,1020,120,2099,4603,4926,2277,66,98,109,7494,4282,1756,100,1964,8299,5780,2591,2270,2263,13,206,5921,2143,4336,1686,5570,218,1463,4564,2092,1923,83,6285,895,2102,109,1412,279,2810,1100,923,237,2585,127,2094,2731,1590,2722,1444,1781,1492,5729,1045,402,687,917,3350,1789,10826,124
"Thermofilaceae",148,59,12,120,21,179,1718,128,125,20,181,150,25,224,644,23,20,55,87,157,394,321,182,119,198,80,36,435,553,109,232,54,27,183,175,24,171,326,144,17,741,255,31,132,543,131,143,8,16,20,446,466,137,22,155,294,487,179,188,75,2,50,183,140,334,127,513,17,214,468,130,56,11,698,91,155,22,106,41,160,85,93,23,150,18,159,123,121,106,98,151,90,216,77,63,48,255,108,138,360,14
"Thermoproteaceae",841,308,37,699,95,703,2825,693,536,121,795,735,106,1123,3401,49,128,122,842,796,3801,1600,997,786,974,383,75,1773,2052,815,942,69,63,1000,1110,76,763,1778,672,124,1985,500,150,692,2038,582,613,73,69,118,2294,1941,639,147,715,1367,2003,1010,896,393,10,297,1000,998,1625,773,1980,63,1257,2749,587,431,51,2064,381,984,155,244,105,793,318,859,95,835,142,904,589,537,1033,700,427,796,1397,731,360,291,1477,727,691,2107,39
"Archaeoglobaceae",808,119,408,774,106,836,1753,740,835,140,851,697,86,1546,3734,216,111,95,481,980,2017,1846,937,711,1050,1015,145,2033,2631,798,977,56,384,1002,1283,114,723,1738,425,151,2163,662,135,797,2475,1379,638,76,80,131,2987,2124,742,151,789,1485,2363,821,862,406,14,463,1002,1645,1461,819,2359,128,1516,1418,841,656,87,2421,623,703,132,376,118,882,465,928,195,853,146,906,976,671,828,1100,585,920,1488,914,547,781,1524,829,766,2220,52
"Haloarculaceae",2276,661,283,2813,383,855,7366,3028,2337,656,2981,2799,372,5089,9141,306,753,480,2076,3325,5815,6058,3745,3277,4085,2984,332,6523,7708,3080,3769,279,410,3073,4019,355,2073,6264,2987,696,8111,2211,710,2651,9079,2687,2449,307,289,642,4146,8056,2665,746,3104,3236,9457,3327,3277,1039,46,2340,3073,2318,5218,3724,8532,317,5700,7436,2576,2224,292,6293,2130,3654,700,921,446,3122,1194,2807,498,2889,535,3937,2350,2113,2172,2763,2482,3294,4280,2988,1413,2314,6456,2647,3192,9590,188
