"Order","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Acidilobales",504,36,31,327,42,644,626,266,474,31,605,271,17,348,2147,14,28,56,231,468,905,943,359,308,494,198,47,1162,998,196,414,16,63,702,309,64,684,641,319,19,1329,248,46,339,1344,521,371,22,23,27,816,796,292,39,285,1057,917,435,485,236,1,25,702,224,732,324,1077,23,416,943,421,1100,32,1486,182,365,30,134,99,377,201,184,84,439,34,427,330,248,451,317,239,231,969,180,39,116,181,392,231,1501,17
"Desulfurococcales",1108,279,105,771,118,621,1662,807,544,106,948,648,235,1111,3026,198,108,233,621,1131,1585,2383,903,786,1081,690,151,2956,2375,489,1171,154,181,996,966,109,821,2749,713,109,2761,485,123,767,2213,911,726,211,73,111,2446,2179,691,100,764,1459,2206,1103,819,510,10,149,996,561,1616,742,2199,82,1072,2558,849,355,71,2542,477,742,118,264,195,776,408,425,197,797,266,872,610,583,766,560,563,517,1368,677,158,334,573,801,658,3077,57
"Fervidicoccales",145,5,4,71,3,230,123,113,185,6,147,83,5,75,497,1,4,3,34,122,196,148,102,73,108,138,2,198,128,42,119,0,11,257,96,5,179,102,103,10,189,67,5,83,174,237,113,0,6,6,202,107,66,3,100,342,179,88,62,69,0,39,257,41,110,60,327,3,50,111,73,56,1,292,36,107,5,108,4,94,148,53,6,98,2,90,122,73,104,42,50,183,195,67,30,21,129,131,57,308,0
"Sulfolobales",4512,295,356,2012,111,5295,4307,1555,3483,114,3589,1933,175,1690,13651,152,74,216,1701,1661,5344,4536,2195,1689,3428,1184,173,5718,4316,1157,2550,139,474,5921,2438,213,4968,3781,1646,98,5853,1020,120,2099,4603,4926,2277,66,98,109,7494,4282,1756,100,1964,8299,5780,2591,2270,2263,13,206,5921,2143,4336,1686,5570,218,1463,4564,2092,1923,83,6285,895,2102,109,1412,279,2810,1100,923,237,2585,127,2094,2731,1590,2722,1444,1781,1492,5729,1045,402,687,917,3350,1789,10826,124
"Thermoproteales",989,367,49,819,116,882,4543,822,661,141,976,885,131,1349,4046,72,148,177,929,953,4195,1921,1179,905,1172,463,111,2208,2605,924,1174,123,90,1183,1285,100,934,2104,821,141,2726,755,181,824,2582,714,756,81,85,138,2740,2407,776,169,870,1661,2490,1189,1084,468,12,347,1183,1138,1959,900,2493,80,1471,3217,717,487,62,2762,472,1139,177,350,147,953,403,952,118,985,160,1064,712,658,1139,798,578,886,1613,808,423,339,1732,835,829,2467,53
"Archaeoglobales",808,119,408,774,106,836,1753,740,835,140,851,697,86,1546,3734,216,111,95,481,980,2017,1846,937,711,1050,1015,145,2033,2631,798,977,56,384,1002,1283,114,723,1738,425,151,2163,662,135,797,2475,1379,638,76,80,131,2987,2124,742,151,789,1485,2363,821,862,406,14,463,1002,1645,1461,819,2359,128,1516,1418,841,656,87,2421,623,703,132,376,118,882,465,928,195,853,146,906,976,671,828,1100,585,920,1488,914,547,781,1524,829,766,2220,52
"Halobacteriales",3655,894,378,4517,556,1296,10549,4414,3600,1064,4941,4132,541,7888,15163,410,1133,755,3173,5010,8670,9753,6058,4858,6403,4397,575,10949,12891,4436,5996,405,566,4675,6269,550,3182,10904,4370,1099,14117,3231,1136,4073,15668,3867,4027,398,460,1014,6997,13014,4405,1192,4699,5077,14313,5545,5250,1669,68,3584,4675,3665,7881,5889,12818,426,8948,12317,4026,3060,458,10530,3260,5716,1105,1659,688,4948,1815,4162,762,4474,846,6361,3700,3374,3574,4961,3554,5118,6870,5264,2212,3858,9501,3958,5095,13588,295
"Haloferacales",3717,693,376,4484,429,1494,9675,3678,3509,1091,5368,3919,555,7701,11187,529,1102,660,3440,5862,11322,9034,6143,4473,5928,4813,504,10077,11608,3599,6274,399,516,4678,6119,498,3920,11531,3820,1031,14077,3153,1181,4095,15269,3794,3934,359,404,1017,9335,11843,4342,1149,4179,5180,11022,5495,5289,1759,86,2880,4678,5920,6724,5961,11730,417,8764,11781,4512,3022,484,10968,3092,5711,1111,1477,713,4887,1794,5032,622,4394,1125,6375,4437,3451,3946,5253,3368,5447,7129,5275,2497,5023,10881,3432,4902,10930,365
"Natrialbales",4018,710,304,5025,523,1338,9486,3906,4019,1100,5370,4422,563,8228,11659,632,1091,753,3888,5710,7769,10033,6567,5188,6763,4543,557,10337,12705,4984,6630,395,609,4728,6443,723,3597,11281,3513,1125,15290,3035,1209,4330,16460,3457,4282,434,378,1165,7755,12572,4668,1191,4606,5369,11679,5453,5335,1854,76,2718,4728,5538,7971,6364,12281,576,9340,11367,4363,3267,476,11537,3299,6084,1164,1482,771,5312,1815,6321,704,4563,997,6690,4065,3579,3761,6240,2880,5448,7584,5879,2557,5015,11221,3739,5328,11014,431
"Methanobacteriales",174069,30601,18997,570442,5603,785601,190224,582148,129536,10863,667798,366050,2254,173827,617288,2214,10355,7230,205814,584443,263350,190076,518347,418053,693117,97036,21756,135551,409027,286886,806335,1086,27840,301685,632731,11632,213762,283153,159532,10534,408835,245046,14458,576903,270870,283775,671686,2424,24384,10617,218877,386003,419505,11045,570462,739893,557315,1139036,678713,83701,1244,2688,301685,152638,87808,434749,294659,5771,129394,437406,382197,294522,17014,373507,547612,319822,11160,142074,14529,636370,116941,327612,39958,566689,3228,529419,306327,440748,211992,180375,90617,138142,334080,121853,7044,158934,208872,253106,326771,544847,2409
