"Phylum","stewartERR2027890","shiSRR873458","shiSRR873455","stewartERR2027917","shiSRR873463","wallaceERR983265","shiSRR873599","wallaceERR983268","stewartERR2027895","hessSRR094166","stewartERR2027928","stewartERR2027923","shiSRR873457","hessSRR094424","shiSRR873597","shiSRR873452","hessSRR094418","shiSRR873460","stewartERR2027903","stewartERR2027908","shiSRR873602","shiSRR873596","stewartERR2027927","stewartERR2027929","stewartERR2027912","wallaceERR983264","shiSRR873459","shiSRR873606","shiSRR873604","stewartERR2027909","stewartERR2027920","shiSRR873454","shiSRR873462","stewartERR2027889","stewartERR2027916","shiSRR873464","stewartERR2027891","shiSRR873595","stewartERR2027900","hessSRR094416","shiSRR873609","wallaceERR983263","hessSRR094415","stewartERR2027925","shiSRR1222431","stewartERR2027898","stewartERR2027918","shiSRR873456","hessSRR094419","hessSRR094403","shiSRR873598","shiSRR873605","stewartERR2027926","hessSRR094417","stewartERR2027915","stewartERR2027897","shiSRR873607","stewartERR2027924","stewartERR2027902","wallaceERR2027890","shiSRR1222429","wallaceERR2530126","wallaceERR2027889","stewartERR2027899","shiSRR1267595","stewartERR2027919","shiSRR873608","shiSRR873451","hessSRR094428","shiSRR873601","stewartERR2027910","stewartERR2027907","hessSRR094427","shiSRR873610","wallaceERR983269","stewartERR2027921","hessSRR094405","wallaceERR983266","shiSRR873465","stewartERR2027913","wallaceERR983262","stewartERR2027905","shiSRR873461","stewartERR2027911","shiSRR873453","stewartERR2027914","stewartERR2027901","wallaceERR983267","stewartERR2027893","stewartERR2027892","shiSRR873603","stewartERR2027904","stewartERR2027896","stewartERR2027894","wallaceERR2530127","stewartERR2027906","wallaceERR2282092","stewartERR2027930","stewartERR2027922","shiSRR873600","shiSRR873450"
"Candidatus Korarchaeota",80,36,1,60,29,50,349,87,51,11,105,76,8,92,194,1,9,9,60,147,153,156,93,94,79,72,21,92,169,112,94,33,3,91,134,3,71,52,180,7,129,72,9,79,130,97,76,7,3,10,54,138,72,7,102,70,120,114,80,39,1,5,91,144,432,62,214,23,84,191,102,98,5,92,68,62,7,38,3,76,53,71,20,123,2,98,38,66,75,24,69,65,135,29,30,56,201,58,80,266,2
"Candidatus Micrarchaeota",66257,1484,1118,25,1511,41,82,13,59892,2,32,21,5,28,293233,2,3,1012,12,46,242,116,27,34,43,30,5072,98,150,20,60,13,6570,74,34,4386,55107,73,10,1,105,46,4,26,113,27,48,33,0,3,220926,82,10,1,29,85,112,40,25,31641,0,16,74,23,130702,16,81,1487,31,49,20,11,3,45,15,44,0,14,940,36,21,5,4573,44,445,28,46,26,39,25,25,39,42,18,44912,28,77,37,30,194,113
"Crenarchaeota",7264,982,548,4007,390,7676,11360,3566,5348,399,6272,3824,563,4584,23393,437,364,687,3516,4343,12233,9941,4741,3762,6290,2739,485,12248,10439,2812,5431,434,820,9069,5098,491,7598,9400,3627,378,12881,2582,476,4117,10941,7343,4247,380,285,392,13706,9847,3584,411,3987,12827,11603,5410,4728,3548,36,768,9069,4202,8761,3713,11707,407,4475,11411,4156,3928,249,13423,2067,4457,439,2281,724,5021,2265,2550,643,4906,590,4554,4511,3160,5183,3169,3217,3310,9883,2791,1063,1499,3536,5516,3570,18195,255
"Euryarchaeota",225271,50239,28319,617899,20210,828621,432920,632069,178877,23711,722344,413045,13011,356167,956591,10481,23186,23126,256329,657624,599476,401590,576609,465911,756312,139108,36906,357667,731804,334463,870948,8463,41650,372507,694535,24722,264793,504508,202795,23160,602147,285958,28677,617606,579856,351238,713147,8955,43320,23175,421480,630315,459837,24334,617173,811382,841086,1199741,731139,107822,2635,29583,372507,200955,248454,489204,594324,14612,303231,612015,437048,334052,34565,630014,583368,377118,24086,164951,30265,688261,140218,383094,55616,620259,16559,589848,353742,479637,268292,238820,163811,185212,439374,168541,30395,200242,291812,303529,374317,789056,8525
"Thaumarchaeota",3135,330,540,2181,143,3961,4968,1693,2622,184,3032,2022,182,2224,13235,122,138,154,1518,2105,5764,4977,2396,1843,3222,2008,202,5243,4190,1316,2979,103,353,4150,2490,136,3275,4046,1995,145,5289,1196,185,2289,4079,3139,2405,95,126,149,5356,4534,1739,151,1940,6005,5526,3133,2380,1573,20,480,4150,3482,3969,1667,5206,133,1962,4514,1964,2667,94,5856,1206,1897,140,1138,267,2471,1373,2070,259,2656,176,2106,2677,1590,2545,2016,1842,2348,3921,1711,808,2126,1761,2567,1610,9355,61
"Acidobacteria",11042,3900,1905,12433,2466,4696,33703,12139,10028,3070,13878,11266,3124,26920,43344,2828,3101,3653,10531,15273,32765,32148,16711,12909,16597,13334,2690,34942,41282,13880,16907,1959,2386,12857,16903,2783,9727,37612,11839,3085,43569,9369,3319,10648,46326,12791,10730,2372,1641,3092,31112,41113,11917,3169,12735,13891,38510,15302,14464,5215,245,8946,12857,12420,25754,15237,41748,1988,29051,38822,11528,11110,1669,35147,9583,16323,2956,4867,3752,13156,6370,12220,3546,11983,4958,16850,10550,10279,10178,12698,10591,14608,20230,12343,9038,11180,26872,10696,13753,42529,1672
"Actinobacteria",686397,199139,151385,720502,113551,240104,2038554,602921,680435,167741,789798,729472,167735,1159451,3910363,128240,164947,165260,1586178,832921,1976835,2349814,908828,1506776,935935,798642,118680,1365721,1973011,2164960,941463,116712,118068,744257,1010707,138850,507316,3150746,695928,165709,2495983,607100,175556,642099,2651249,694155,556301,120037,69808,162703,2530864,2045074,663389,173604,810461,781343,2098351,816742,931620,318047,12929,549047,744257,751514,1089074,920811,1890384,138061,1281422,2591048,719037,914175,80224,1554744,522914,1348108,166082,333935,159161,770569,370689,818375,153769,768465,301635,941086,850378,534150,539963,765678,542566,922269,1206029,789395,451398,1076327,3419860,637822,798685,3194892,145125
"Aquificae",3296,827,436,3090,464,4336,11188,3077,2807,464,3809,3085,662,5579,17921,543,378,570,2169,3237,9096,9031,3622,3267,4274,3305,446,8674,8773,3039,4238,375,557,4503,4362,705,3330,8447,3119,391,9513,2963,464,2658,8608,6190,2552,379,336,427,8852,8762,2851,436,3275,5249,9356,3621,3705,1558,61,1369,4503,4442,8099,3216,11737,504,5385,9905,3103,5210,297,11504,2307,3819,432,3138,720,3966,2281,2600,714,3277,907,3860,2817,2963,3134,2817,2795,3737,5406,2592,1808,2538,3538,3459,3104,13192,248
"Armatimonadetes",1894,1002,339,1981,432,773,9296,2260,1533,602,2411,1865,559,6338,7231,509,570,694,1669,2405,6276,5990,2988,2299,2951,1583,479,6691,8151,2005,2903,435,471,2421,3074,672,1766,7087,2153,581,8848,1871,647,1848,9553,3050,1826,358,358,621,6117,8274,2021,641,1991,2545,7734,2412,2795,906,38,934,2421,1463,4837,2684,8213,356,6382,6459,2097,1145,381,6764,1915,2803,613,1091,786,2451,959,1200,645,2268,876,2953,1331,2125,1579,1710,2700,1549,3504,1433,971,1148,3610,1993,2367,9512,385
"Bacteroidetes",2200103,889749,565290,1300652,463050,1909419,6969753,2605390,1817357,148086,1755227,2166917,722642,1932709,7857397,867479,143122,778909,4107765,2998178,5812140,8253934,2327326,1426335,1763868,1533475,826449,9146672,8282079,2521857,2443565,431843,570725,1473596,1937445,604126,1104838,6529844,2005415,144670,6229438,1363662,164259,1664512,6029469,3173657,2081207,532444,210669,144025,5896274,6278265,1649875,150995,1276377,2089380,5926461,2831489,2228772,1040596,43391,2409713,1473596,1978527,7283769,1332127,5990052,640053,1811172,7894450,1665437,1465601,188150,7905135,830127,1854958,146410,1230523,1146376,1572600,1783155,2261908,1127143,1557037,1147262,1900470,2006000,1319687,2672354,1543276,1588329,2444471,1980168,1420738,2723801,2243525,3289604,2006069,1350196,9285101,438534
"Caldiserica",296,40,30,202,38,764,1007,194,232,28,272,279,37,484,1222,63,19,34,274,229,1482,792,245,176,288,250,30,716,728,183,285,19,31,352,307,19,249,852,269,26,591,244,24,225,417,302,204,19,33,22,1378,547,160,16,199,375,626,175,234,132,4,20,352,414,435,219,882,32,421,1144,175,726,15,986,140,275,19,243,36,258,226,389,52,193,43,297,364,193,200,163,258,689,618,336,87,225,343,215,204,966,27
"Calditrichaeota",1014,144,161,798,121,889,3086,961,714,126,980,803,365,1722,7418,276,148,231,1007,1100,5035,2978,1082,726,995,917,232,3023,3316,647,1237,113,156,904,1118,199,800,3203,1066,153,3363,1088,151,798,3540,1157,819,206,94,123,2801,3937,827,170,842,1144,2995,1225,1054,473,19,594,904,881,2412,1084,3737,164,1730,5740,824,528,106,2747,610,1036,128,365,211,853,1578,905,216,804,522,1183,1037,774,1291,765,638,566,1318,721,659,1267,1417,754,759,4803,104
"Candidatus Bipolaricaulota",334,84,18,483,55,70,1039,510,204,126,514,418,48,1162,803,37,139,74,200,403,525,791,660,479,651,159,48,788,858,177,544,57,46,514,586,58,374,786,249,118,1109,396,133,359,1274,260,354,44,87,138,551,993,487,124,420,571,936,393,580,145,6,202,514,176,397,669,1067,28,1327,887,387,223,110,686,440,652,119,263,73,517,89,181,64,426,67,694,125,445,276,260,274,201,791,393,189,257,414,369,530,702,37
"Candidatus Cloacimonetes",310,61,59,327,38,432,1831,346,217,44,342,284,30,747,1323,30,34,33,689,246,2839,1020,405,354,443,363,58,754,1032,189,340,29,95,372,302,84,383,785,324,32,951,200,56,272,876,773,295,24,45,37,831,739,346,36,351,458,815,433,422,158,10,401,372,230,634,442,1032,23,642,1118,387,334,31,1320,233,446,38,216,50,396,231,365,50,291,44,430,335,328,523,256,277,233,528,409,292,359,570,303,324,1495,28
"Candidatus Gracilibacteria",845,35,53,327,7,828,1196,181,401,25,509,259,2,470,1474,1,14,20,90,184,539,642,315,266,421,232,13,1046,507,109,427,7,68,763,355,13,691,586,276,21,497,99,21,294,364,399,331,2,50,16,805,564,212,17,228,859,758,525,278,406,6,18,763,161,654,248,650,7,475,369,294,153,50,721,144,334,26,100,23,383,143,113,46,275,10,423,267,246,238,276,212,152,520,169,57,113,51,683,259,1223,4
"Candidatus Saccharibacteria",2060,261,149,2576,118,620,2765,3436,2366,277,2006,4054,211,4402,2176,270,262,284,1251,2392,2858,3387,2894,1616,2605,1110,226,4832,4030,1328,1684,169,183,3551,4765,308,1799,2685,2771,264,3229,1537,292,1984,4685,2865,1708,151,380,281,4666,4321,1837,291,2153,2994,3285,3191,2350,1001,17,270,3551,527,2417,2354,3871,165,3881,3035,2046,1332,320,4878,1608,3769,285,1906,245,2693,878,1318,247,2558,235,4680,1127,1715,2076,2264,938,863,1737,1688,322,574,728,1943,3067,4178,110
"Chlamydiae",2654,528,391,2422,263,3912,7269,2218,2546,276,2927,2219,340,5161,15078,290,277,363,1959,2563,7230,6317,2774,2218,3395,2615,302,6518,5991,2273,3295,267,448,3525,2833,322,2944,6904,1883,253,6018,2003,338,2188,5064,2977,2175,165,364,307,8874,6424,2024,269,2322,4731,6547,2430,2569,1307,39,814,3525,4352,5315,2168,7334,223,4745,8494,1951,4304,357,7299,1625,2637,272,1783,412,2599,1577,2092,454,2252,499,2899,2284,2092,2643,2125,1844,2565,4881,1856,1044,1184,1951,2534,2167,8948,275
"Chlorobi",12390,5497,2985,11678,3086,6326,39007,14553,9842,2857,12815,12483,4925,29661,47492,4671,2715,4700,12401,16591,31950,38122,15487,13427,15151,13421,3928,40595,42407,10561,17181,3222,3433,12669,16411,4486,10032,37024,11915,2721,43655,11545,3099,11327,45761,15359,11173,2877,1797,2666,37667,43501,11422,2795,11862,14124,38796,15893,14016,5727,243,12279,12669,13475,35249,14896,41907,2911,30311,44312,12221,10634,1841,37489,9868,14530,2739,7037,5495,13577,7075,13194,4991,11489,7470,16100,12117,11218,11729,12739,10561,13940,19454,12084,10802,13413,25022,11728,12492,46208,1855
"Chloroflexi",15674,4526,2317,16421,2833,9372,38755,16945,12896,3949,18573,15840,3103,34443,52548,2594,3714,5637,13334,18070,34720,35394,20810,18561,22281,22153,3595,35012,48465,15756,22690,2536,3673,18009,23303,4680,12491,39752,19560,3789,53968,19890,4146,14350,57146,15263,14162,2345,2525,3840,37441,49605,17083,3949,17455,18321,47452,19298,19307,7303,261,16048,18009,14119,25894,21644,46918,2481,35474,46692,17129,27619,2416,39401,14041,21868,3782,9876,4226,18752,17991,16092,3823,17895,4425,22725,13910,14824,17364,17537,10590,18711,25127,17293,16397,17545,58742,15041,18760,46459,1897
"Chrysiogenetes",687,326,279,811,187,421,3998,1022,494,191,877,848,206,1958,3167,203,173,276,607,1093,2149,3225,1085,1060,1144,473,200,2948,3373,675,1151,235,196,862,1258,193,553,3170,801,170,3319,886,216,682,3663,965,658,147,121,190,2490,2986,878,169,1031,934,2626,1103,933,290,19,585,862,674,2782,1029,2907,210,1884,3222,901,673,128,2613,673,1277,190,673,250,902,501,520,324,1013,331,1127,435,716,586,638,665,842,1354,616,718,688,1706,811,855,4425,175
"Coprothermobacterota",155,57,25,173,63,257,1363,236,152,28,219,226,39,610,889,21,32,50,243,211,898,898,241,227,292,223,93,749,909,159,289,21,49,201,254,29,139,1037,501,31,826,157,35,193,611,664,321,22,51,30,746,1214,186,31,186,197,1092,250,217,73,6,149,201,253,516,200,689,24,527,577,185,868,21,539,210,223,33,210,39,229,181,201,32,302,36,403,269,211,174,295,448,226,321,282,157,387,339,163,153,2171,28
"Cyanobacteria",227758,14875,9904,87924,9084,752216,597810,93352,210152,8445,166496,88091,9622,109263,2277005,8403,8195,13440,101077,98931,1243166,977817,105427,76689,146463,55378,9715,945047,831766,52788,132773,5790,13682,266233,99791,11673,306160,530672,79714,8163,847464,54722,9509,124265,736204,197933,109410,6839,8601,8307,1880664,723592,66383,8536,90709,481268,1482814,117359,122032,107331,5530,22406,266233,68024,1168925,75916,874883,7550,98450,415585,139521,68266,6542,965993,46109,95164,8405,42846,12236,112409,72140,54441,13068,166412,14107,103945,221146,90601,200990,77397,309806,73607,405201,53084,35515,54548,68923,198262,77675,1670323,5549
"Deferribacteres",4216,726,326,3182,550,2691,7333,4310,2525,375,4096,3539,374,5210,11600,726,347,566,3306,5543,5930,7671,3944,2900,3873,2877,665,7770,8139,2232,5570,391,464,3956,3952,641,3362,6755,2726,373,8033,2592,400,3396,9468,3389,2755,261,305,357,8841,7835,2475,388,2400,5413,7443,5144,3641,1981,38,1087,3956,4478,5199,3348,9001,475,4632,6665,3236,3073,281,12527,2272,3376,397,4668,745,3576,2066,2950,744,3263,672,4232,2992,3065,4744,4199,2317,3396,6410,3140,2184,2855,4100,3665,3027,7751,360
"Deinococcus-Thermus",18817,6512,2409,21360,4274,6136,50738,21621,17668,6060,23108,20068,4933,48614,57144,3709,5809,6474,14577,22862,44050,42281,28032,23944,29400,21656,4075,49544,61177,15825,26752,3760,4151,23294,30396,4697,16165,47899,20109,5892,76430,19746,6402,17785,83013,15827,17292,3508,2967,5864,41028,64927,21270,6155,22337,23155,60440,24511,24955,8842,323,10446,23294,17986,29958,28740,65258,2911,54379,63581,21173,14346,3201,49843,17393,29930,5895,8813,6317,23412,8036,21361,5744,23104,6736,30531,15746,18166,17394,23298,14553,20197,35279,27568,10306,20587,39692,18763,24697,49419,2758
"Dictyoglomi",1106,155,216,839,194,1435,2307,468,937,56,1105,598,54,860,4802,115,49,99,579,660,2009,2035,803,613,966,695,143,1698,1541,576,1127,38,252,1184,953,147,1231,2679,797,50,1860,511,46,799,1350,1247,686,83,76,44,3033,1504,492,52,696,1431,1742,1541,647,562,12,121,1184,2217,1182,563,2924,109,691,2409,626,1800,42,3081,365,788,60,523,322,841,536,542,161,649,99,785,722,529,877,616,718,742,1401,565,206,574,528,808,594,3115,41
"Elusimicrobia",2635,336,210,1857,673,2676,4801,2291,1765,507,2781,1598,359,8606,6788,209,546,324,1400,2121,4389,4320,2530,1538,2738,1465,243,4829,5196,1336,2155,167,464,2197,2302,884,3606,4333,3406,568,8129,1911,655,1482,12006,4008,2155,167,875,541,4006,4210,1995,546,2253,2421,8912,2213,2255,1247,31,566,2197,2271,3195,2096,24827,248,7858,4939,1902,1601,768,14861,2044,2042,519,2352,541,2571,1482,2454,271,1781,927,2433,1100,2071,1504,1479,1053,1327,2672,1133,851,1078,1833,1892,1860,5699,244
"Fibrobacteres",207113,49546,10812,103654,13775,3292,720870,14205,107004,101506,124593,97534,15146,1463473,1703142,14841,97582,16856,33853,331839,457330,4056946,142456,25276,56422,8811,13581,148952,542966,53091,259309,28665,18871,127331,68866,8620,257745,3941228,104757,98880,249683,11414,114156,102367,152528,152550,173131,18336,222192,98209,365942,225829,60364,102902,31367,380312,389275,135664,187866,94077,859,4437,127331,5060,267456,84685,220858,114122,1396778,463994,158426,31989,209571,1162895,102026,68631,99354,317241,41512,61535,2446,13206,11000,261889,44454,136218,24302,283951,78914,39974,129582,5745,364301,35846,2756,9864,6207,137596,73754,658477,68040
"Firmicutes",1291805,772730,546000,1331461,422523,1220891,4495090,1373853,1263600,192824,1385357,1315845,467187,2221486,7199064,511461,186108,541714,1594373,1355754,4074115,7511135,1436039,1770043,1811647,2823639,414671,2862587,4254457,1456367,1730252,377696,534188,1681941,1917970,474221,973988,8095078,1490290,187979,4820015,1312650,214032,1127203,4330981,3187746,888966,271445,225652,187277,5037557,4089212,1178734,196055,1506295,1625878,4658891,1432334,1347989,611257,25029,748587,1681941,2246935,2173020,1658687,4581831,732506,2099918,5357220,1416380,2391528,206367,4553477,1052353,1831116,190542,1219512,554224,1518424,1339248,1564170,522206,1414821,691371,1616781,1460940,1193527,1077367,1572003,1129047,2064407,2520287,1791639,847603,1425060,3332354,1338823,1374350,7810950,516813
"Fusobacteria",32935,3653,3895,20230,1762,45711,53954,14457,28988,861,28382,18748,1800,20094,132765,2150,862,2165,14417,17789,60886,48337,20326,19396,29027,20080,2070,47468,37129,14141,24240,1479,4490,46582,26777,2209,35025,49082,20056,843,43338,12462,1082,18623,35639,70955,18225,737,1376,838,58357,42458,15174,866,19045,54971,50426,20165,18684,16040,173,2231,46582,47158,38803,18886,59802,2017,15879,50099,19613,45537,958,70059,10026,24271,885,18144,2829,25960,15136,15995,3430,22197,2459,21518,22432,15884,26050,19578,18965,16876,45266,16284,4655,7774,10969,28505,17612,91676,1538
"Gemmatimonadetes",3035,891,399,3740,579,767,8213,2814,3176,976,3966,3149,882,8020,9068,819,995,838,2164,3778,8089,8217,5123,3472,4702,3408,718,10052,10844,4735,4734,391,525,3690,4798,584,3123,9685,3375,1017,11931,2443,1040,3203,13374,2868,3100,587,527,964,7839,10461,3346,1029,3007,4307,9300,4060,4459,1356,74,3906,3690,4713,6815,4424,10588,495,9041,11169,3105,2236,596,9991,2621,4133,944,985,1123,3778,1358,4094,821,3338,936,5020,3352,2985,2342,4199,2977,4021,5879,4119,2480,5331,8571,2849,3841,9674,418
"Ignavibacteriae",1610,392,180,1277,219,1765,5004,1434,1002,193,1669,1235,342,3003,5785,286,202,357,805,1455,3526,3547,1522,1235,1722,1174,347,3469,3711,860,1778,263,184,1975,1871,416,1547,4966,1364,175,3776,1408,201,1201,3980,3390,1172,229,184,179,4310,3945,1057,196,1253,2297,3479,1308,1457,750,21,626,1975,1484,3146,1429,4735,133,2841,3814,1307,3962,154,5398,928,1467,196,822,464,1618,1048,971,284,1456,300,1530,1128,1247,1378,1069,1460,1393,3187,1094,739,955,1394,1436,1313,5928,134
"Kiritimatiellaeota",1808,716,265,2133,369,664,4383,1517,1124,584,2748,1458,295,5272,3244,257,611,687,735,2314,2102,3016,3450,1566,2739,1072,526,4968,5888,1160,2727,251,308,1943,2389,881,2019,3624,1407,532,4754,1178,566,1983,6293,816,2029,207,298,586,2493,5309,1927,561,1434,2669,4214,2213,2774,815,35,588,1943,1694,2526,2667,4788,293,5681,3876,1339,851,348,5940,1637,2137,548,503,690,2244,578,1186,675,1574,391,2907,782,1788,1128,1257,1959,1008,2821,1434,510,967,2190,1406,2377,4469,237
"Lentisphaerae",5485,1680,599,5565,1039,956,8864,5558,2694,3032,7840,4321,1043,30120,8827,744,2909,1359,2341,7085,9335,7520,10555,4347,7624,7512,1065,13351,15080,3922,8241,687,905,5547,7321,925,6671,9908,2923,2983,13397,5892,3019,5169,17418,3195,6325,758,2514,2840,7126,14487,5343,3088,4132,8385,12801,6588,10840,2594,84,3296,5547,2673,6544,8037,14918,871,33437,11404,4343,2777,2673,14457,5963,5647,2928,2018,1467,8048,4609,2564,1300,5017,2437,9621,1931,6825,4177,2944,4923,3859,9032,2842,1734,2502,8030,4047,7267,9735,735
