"ID","Description","Species","Candidatus Korarchaeota","Candidatus Micrarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Acidobacteria","Actinobacteria","Aquificae","Armatimonadetes","Bacteroidetes","Caldiserica","Calditrichaeota","Candidatus Bipolaricaulota","Candidatus Cloacimonetes","Candidatus Gracilibacteria","Candidatus Saccharibacteria","Chlamydiae","Chlorobi","Chloroflexi","Chrysiogenetes","Coprothermobacterota","Cyanobacteria","Deferribacteres","Deinococcus-Thermus","Dictyoglomi","Elusimicrobia","Fibrobacteres","Firmicutes","Fusobacteria","Gemmatimonadetes","Ignavibacteriae","Kiritimatiellaeota","Lentisphaerae","Nitrospirae","Planctomycetes","Proteobacteria","Spirochaetes","Synergistetes","Tenericutes","Thermodesulfobacteria","Thermotogae","Verrucomicrobia","Chordata","Apicomplexa","Bacillariophyta"
"wallaceERR2027889","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR2027890","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR2282092","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR2530126","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR2530127","Metagenomic sequencing of the rumen of Scottish cattle.","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR983262","low methane producing","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR983263","high methane producing","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR983264","low methane producing","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR983265","high methane producing","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR983266","low methane producing","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR983267","high methane producing","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR983268","low methane producing","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"wallaceERR983269","high methane producing","bovine ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
