header,class,mechanism,group
gene:plasmid:85253,plasmid,plasmid,plasmid
gene:plasmid:132193,plasmid,plasmid,plasmid
gene:vir:109003,virulence,virulence,virulence
gene:vir:95674,virulence,virulence,virulence
gene:plasmid:25398,plasmid,plasmid,plasmid
gene:plasmid:154774,plasmid,plasmid,plasmid
gene:proph:170425,prophage,prophage,prophage
gene:plasmid:139559,plasmid,plasmid,plasmid
gene:plasmid:122082,plasmid,plasmid,plasmid
gene:plasmid:21622,plasmid,plasmid,plasmid
gene:plasmid:125192,plasmid,plasmid,plasmid
gene:plasmid:122429,plasmid,plasmid,plasmid
gene:plasmid:21293,plasmid,plasmid,plasmid
gene:vir:109045,virulence,virulence,virulence
gene:plasmid:22070,plasmid,plasmid,plasmid
gene:plasmid:22256,plasmid,plasmid,plasmid
gene:plasmid:122431,plasmid,plasmid,plasmid
gene:plasmid:97798,plasmid,plasmid,plasmid
gene:plasmid:88693,plasmid,plasmid,plasmid
gene:plasmid:22685,plasmid,plasmid,plasmid
gene:plasmid:125193,plasmid,plasmid,plasmid
gene:proph:179581,prophage,prophage,prophage
gene:plasmid:151531,plasmid,plasmid,plasmid
gene:plasmid:156719,plasmid,plasmid,plasmid
gene:plasmid:122212,plasmid,plasmid,plasmid
gene:proph:159060,prophage,prophage,prophage
gene:proph:177782,prophage,prophage,prophage
gene:plasmid:21848,plasmid,plasmid,plasmid
gene:plasmid:131218,plasmid,plasmid,plasmid
gene:proph:180856,prophage,prophage,prophage
gene:plasmid:150003,plasmid,plasmid,plasmid
gene:plasmid:85258,plasmid,plasmid,plasmid
gene:plasmid:134670,plasmid,plasmid,plasmid
gene:plasmid:22203,plasmid,plasmid,plasmid
gene:vir:2156,virulence,virulence,virulence
gene:vir:79022,virulence,virulence,virulence
gene:plasmid:22578,plasmid,plasmid,plasmid
gene:vir:4580,virulence,virulence,virulence
gene:plasmid:139281,plasmid,plasmid,plasmid
gene:plasmid:141716,plasmid,plasmid,plasmid
gene:plasmid:22287,plasmid,plasmid,plasmid
gene:proph:177273,prophage,prophage,prophage
gene:vir:98406,virulence,virulence,virulence
gene:proph:168676,prophage,prophage,prophage
gene:vir:79029,virulence,virulence,virulence
gene:vir:102156,virulence,virulence,virulence
gene:proph:160994,prophage,prophage,prophage
gene:plasmid:150170,plasmid,plasmid,plasmid
gene:plasmid:21023,plasmid,plasmid,plasmid
gene:plasmid:82630,plasmid,plasmid,plasmid
gene:plasmid:133226,plasmid,plasmid,plasmid
gene:plasmid:25238,plasmid,plasmid,plasmid
gene:plasmid:21395,plasmid,plasmid,plasmid
gene:plasmid:86363,plasmid,plasmid,plasmid
gene:plasmid:124841,plasmid,plasmid,plasmid
gene:proph:168666,prophage,prophage,prophage
gene:vir:102300,virulence,virulence,virulence
gene:vir:94882,virulence,virulence,virulence
gene:plasmid:154429,plasmid,plasmid,plasmid
gene:plasmid:19393,plasmid,plasmid,plasmid
gene:plasmid:14542,plasmid,plasmid,plasmid
gene:plasmid:28971,plasmid,plasmid,plasmid
gene:plasmid:91608,plasmid,plasmid,plasmid
gene:plasmid:148940,plasmid,plasmid,plasmid
gene:plasmid:13391,plasmid,plasmid,plasmid
gene:plasmid:124083,plasmid,plasmid,plasmid
gene:plasmid:16998,plasmid,plasmid,plasmid
gene:vir:107835,virulence,virulence,virulence
gene:plasmid:21041,plasmid,plasmid,plasmid
gene:proph:163870,prophage,prophage,prophage
gene:plasmid:147130,plasmid,plasmid,plasmid
gene:proph:177762,prophage,prophage,prophage
gene:plasmid:131374,plasmid,plasmid,plasmid
gene:vir:98576,virulence,virulence,virulence
gene:plasmid:85103,plasmid,plasmid,plasmid
gene:plasmid:28625,plasmid,plasmid,plasmid
gene:plasmid:152788,plasmid,plasmid,plasmid
gene:plasmid:134554,plasmid,plasmid,plasmid
gene:vir:100371,virulence,virulence,virulence
gene:plasmid:136794,plasmid,plasmid,plasmid
gene:plasmid:22310,plasmid,plasmid,plasmid
gene:proph:172762,prophage,prophage,prophage
gene:plasmid:151648,plasmid,plasmid,plasmid
gene:plasmid:21543,plasmid,plasmid,plasmid
gene:plasmid:22625,plasmid,plasmid,plasmid
gene:plasmid:13380,plasmid,plasmid,plasmid
gene:plasmid:19322,plasmid,plasmid,plasmid
gene:proph:159711,prophage,prophage,prophage
gene:plasmid:90585,plasmid,plasmid,plasmid
gene:plasmid:17408,plasmid,plasmid,plasmid
gene:vir:106117,virulence,virulence,virulence
gene:plasmid:136776,plasmid,plasmid,plasmid
gene:vir:108530,virulence,virulence,virulence
gene:plasmid:152751,plasmid,plasmid,plasmid
gene:plasmid:17164,plasmid,plasmid,plasmid
gene:proph:177760,prophage,prophage,prophage
gene:proph:168108,prophage,prophage,prophage
gene:vir:97991,virulence,virulence,virulence
gene:plasmid:22186,plasmid,plasmid,plasmid
gene:plasmid:124034,plasmid,plasmid,plasmid
gene:plasmid:127521,plasmid,plasmid,plasmid
gene:vir:108612,virulence,virulence,virulence
gene:plasmid:124891,plasmid,plasmid,plasmid
gene:plasmid:116152,plasmid,plasmid,plasmid
gene:plasmid:135202,plasmid,plasmid,plasmid
gene:plasmid:132954,plasmid,plasmid,plasmid
gene:vir:95752,virulence,virulence,virulence
gene:plasmid:152681,plasmid,plasmid,plasmid
gene:plasmid:131184,plasmid,plasmid,plasmid
gene:plasmid:133326,plasmid,plasmid,plasmid
gene:vir:108646,virulence,virulence,virulence
gene:plasmid:152754,plasmid,plasmid,plasmid
gene:plasmid:97796,plasmid,plasmid,plasmid
gene:plasmid:87112,plasmid,plasmid,plasmid
gene:plasmid:14553,plasmid,plasmid,plasmid
gene:plasmid:22422,plasmid,plasmid,plasmid
gene:vir:103689,virulence,virulence,virulence
gene:plasmid:134555,plasmid,plasmid,plasmid
gene:plasmid:136318,plasmid,plasmid,plasmid
gene:plasmid:14627,plasmid,plasmid,plasmid
gene:plasmid:22272,plasmid,plasmid,plasmid
gene:plasmid:21123,plasmid,plasmid,plasmid
gene:plasmid:21677,plasmid,plasmid,plasmid
gene:vir:103343,virulence,virulence,virulence
gene:plasmid:135602,plasmid,plasmid,plasmid
gene:plasmid:152739,plasmid,plasmid,plasmid
gene:proph:183671,prophage,prophage,prophage
gene:plasmid:86374,plasmid,plasmid,plasmid
gene:plasmid:135673,plasmid,plasmid,plasmid
gene:proph:160741,prophage,prophage,prophage
gene:vir:96476,virulence,virulence,virulence
gene:plasmid:14581,plasmid,plasmid,plasmid
gene:vir:108740,virulence,virulence,virulence
gene:plasmid:91794,plasmid,plasmid,plasmid
gene:plasmid:21259,plasmid,plasmid,plasmid
gene:vir:102299,virulence,virulence,virulence
gene:plasmid:142162,plasmid,plasmid,plasmid
gene:vir:105218,virulence,virulence,virulence
gene:plasmid:13442,plasmid,plasmid,plasmid
gene:plasmid:154423,plasmid,plasmid,plasmid
gene:proph:177246,prophage,prophage,prophage
gene:proph:168508,prophage,prophage,prophage
gene:plasmid:22415,plasmid,plasmid,plasmid
gene:plasmid:131858,plasmid,plasmid,plasmid
gene:plasmid:151414,plasmid,plasmid,plasmid
gene:plasmid:117502,plasmid,plasmid,plasmid
gene:plasmid:13780,plasmid,plasmid,plasmid
gene:plasmid:151415,plasmid,plasmid,plasmid
gene:proph:177302,prophage,prophage,prophage
gene:vir:103342,virulence,virulence,virulence
